# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1962688765
# chain_id=3
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,scale,boltzman_shift
-6.08405e+83,0,1.66789e-22,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,2.65469e-23,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,4.37284e-24,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,7.44359e-25,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,1.30759e-25,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,2.36734e-26,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,4.41183e-27,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,8.45351e-28,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,1.66356e-28,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,3.35871e-29,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,6.95042e-30,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,1.47282e-30,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,3.19307e-31,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,7.0766e-32,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,1.60197e-32,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,3.70149e-33,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,8.72325e-34,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,2.09542e-34,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,5.12713e-35,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,1.2771e-35,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,3.23648e-36,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,8.34024e-37,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,2.18431e-37,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,5.81116e-38,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,1.5697e-38,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,4.3031e-39,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,1.19665e-39,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,3.37435e-40,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,9.64454e-41,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,2.79304e-41,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,8.19252e-42,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,2.43306e-42,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-6.08405e+83,0,7.31369e-43,0,1,1,6.08405e+83,0.236377,0.612095,0.151528,3.94772,7.12172
-5.1019e+82,1,2.2245e-43,3,7,0,4.67163e+83,0.235071,0.613881,0.151048,3.94772,8.56144
-4.31801e+81,1,6.42828e-43,1,1,0,3.94796e+82,0.234159,0.61513,0.150711,3.94772,9.99682
-4.47025e+80,1,1.82839e-42,2,3,0,3.31739e+81,0.233536,0.615984,0.15048,3.94772,11.3157
-4.27636e+79,1,5.1207e-42,2,3,0,3.46344e+80,0.233031,0.616677,0.150292,3.94772,12.6808
-5.11904e+78,1,1.41269e-41,1,1,0,3.28384e+79,0.232663,0.617182,0.150155,3.94772,13.9158
-5.35185e+77,1,3.84045e-41,1,1,0,3.96475e+78,0.232338,0.617628,0.150034,3.94772,15.2297
-7.14178e+76,1,1.0292e-40,1,1,0,4.11011e+77,0.232095,0.617963,0.149943,3.94772,16.4017
-8.09576e+75,0.984127,2.71987e-40,5,63,1,5.52441e+76,0.231868,0.618275,0.149858,3.94772,17.6688
-1.33468e+75,1,6.85269e-40,2,3,0,6.22506e+75,0.231705,0.618499,0.149797,3.94772,18.718
-1.45234e+74,1,1.76322e-39,1,1,0,1.03713e+75,0.231526,0.618744,0.14973,3.94772,20.009
-2.48805e+73,1,4.47837e-39,1,1,0,1.11877e+74,0.231402,0.618916,0.149683,3.94772,21.0359
-3.02199e+72,1,1.12315e-38,2,3,0,1.92541e+73,0.231267,0.619101,0.149632,3.94772,22.263
-5.25519e+71,1,2.78223e-38,1,1,0,2.3305e+72,0.231167,0.619239,0.149595,3.94772,23.2812
-7.13589e+70,1,6.80948e-38,2,3,0,4.05535e+71,0.231062,0.619382,0.149555,3.94772,24.4435
-1.25063e+70,1,1.64711e-37,2,3,0,5.50739e+70,0.230979,0.619497,0.149524,3.94772,25.4573
-1.88071e+69,1,3.93858e-37,2,3,0,9.64196e+69,0.230896,0.619611,0.149493,3.94772,26.5602
-3.33634e+68,1,9.31286e-37,1,1,0,1.45265e+69,0.230826,0.619707,0.149466,3.94772,27.5669
-5.47179e+67,1,2.17804e-36,2,3,0,2.57385e+68,0.230759,0.619801,0.149441,3.94772,28.6194
-9.91608e+66,1,5.03959e-36,3,7,0,4.23059e+67,0.230699,0.619882,0.149419,3.94772,29.6137
-1.74563e+66,1,1.15393e-35,2,3,0,7.66196e+66,0.230643,0.61996,0.149397,3.94772,30.6249
-3.25993e+65,1,2.61529e-35,3,7,0,1.35144e+66,0.230591,0.620031,0.149378,3.94772,31.6018
-6.08035e+64,1,5.86839e-35,2,3,0,2.524e+65,0.230543,0.620097,0.14936,3.94772,32.5794
-1.17673e+64,1,1.30398e-34,2,3,0,4.71524e+64,0.230499,0.620158,0.149343,3.94772,33.5355
-2.30452e+63,1,2.86994e-34,1,1,0,9.13127e+63,0.230458,0.620215,0.149328,3.94772,34.4848
-4.633e+62,1,6.25766e-34,2,3,0,1.79076e+63,0.230419,0.620268,0.149313,3.94772,35.4187
-9.4724e+61,1,1.35201e-33,1,1,0,3.60371e+62,0.230383,0.620318,0.149299,3.94772,36.3429
-1.97849e+61,1,2.89508e-33,2,3,0,7.37769e+61,0.230349,0.620365,0.149286,3.94772,37.2546
-4.20781e+60,1,6.14524e-33,6,63,0,1.54281e+61,0.230317,0.620409,0.149274,3.94772,38.1559
-9.12156e+59,1,1.29329e-32,2,3,0,3.2856e+60,0.230287,0.62045,0.149263,3.94772,39.046
-2.01298e+59,1,2.69903e-32,3,7,0,7.13181e+59,0.230258,0.620489,0.149252,3.94772,39.9257
-4.52214e+58,1,5.58667e-32,2,3,0,1.57605e+59,0.230232,0.620526,0.149242,3.94772,40.7951
-1.03352e+58,1,1.14711e-31,1,1,0,3.54553e+58,0.230206,0.620561,0.149233,3.94772,41.6544
-2.40233e+57,1,2.33689e-31,3,7,0,8.11484e+57,0.230182,0.620595,0.149223,3.94772,42.5039
-5.67665e+56,1,4.72409e-31,2,3,0,1.88896e+57,0.230159,0.620626,0.149215,3.94772,43.3438
-1.36316e+56,1,9.478e-31,2,3,0,4.4702e+56,0.230137,0.620656,0.149207,3.94772,44.1744
-3.32535e+55,1,1.88755e-30,1,1,0,1.07506e+56,0.230117,0.620685,0.149199,3.94772,44.9958
-8.23782e+54,1,3.73188e-30,1,1,0,2.62655e+55,0.230097,0.620712,0.149191,3.94772,45.8082
-2.07171e+54,1,7.32601e-30,1,1,0,6.51672e+54,0.230078,0.620738,0.149184,3.94772,46.6119
-5.28741e+53,1,1.42817e-29,1,1,0,1.64142e+54,0.23006,0.620763,0.149177,3.94772,47.407
-1.36906e+53,1,2.76516e-29,1,1,0,4.19581e+53,0.230043,0.620787,0.149171,3.94772,48.1937
-3.59528e+52,1,5.31801e-29,2,3,0,1.08813e+53,0.230026,0.62081,0.149164,3.94772,48.9721
-9.57304e+51,1,1.01607e-28,1,1,0,2.86207e+52,0.23001,0.620831,0.149158,3.94772,49.7426
-2.58374e+51,1,1.92883e-28,1,1,0,7.63292e+51,0.229995,0.620852,0.149153,3.94772,50.5051
-2.58374e+51,0,5.82155e-27,0,1,1,2.58374e+51,0.229995,0.620852,0.149153,3.94772,50.5051
-2.58374e+51,0,1.35937e-26,0,1,1,2.58374e+51,0.229995,0.620852,0.149153,3.94772,50.5051
-7.02479e+50,1,1.34033e-27,2,3,0,2.43501e+51,0.229995,0.620853,0.149153,3.94772,51.2634
-2.7964e+50,1,1.39596e-27,3,7,0,6.90031e+50,0.229995,0.620853,0.149153,3.94772,51.7997
-8.69674e+49,1,1.88812e-27,5,31,0,2.76037e+50,0.229995,0.620853,0.149153,3.94772,52.4798
-3.38957e+49,1,2.95272e-27,3,7,0,8.60766e+49,0.229995,0.620853,0.149153,3.94772,53.0284
-3.13489e+49,1,5.02618e-27,1,1,0,3.38023e+49,0.229995,0.620853,0.149153,3.94772,53.0739
-1.35971e+49,1,8.99404e-27,3,7,0,3.02381e+49,0.229994,0.620853,0.149153,3.94772,53.5602
-4.12238e+48,1,1.65614e-26,3,7,0,1.28805e+49,0.229994,0.620853,0.149152,3.94772,54.2551
