# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.00000    68462728.00000000 41715028.00000000 106882136.00000000 51397.03515625  3751696.25000000 2928488.25000000 
0.00100    68446880.00000000 41705332.00000000 106857456.00000000 51383.75781250  3750777.50000000 2927774.75000000 
0.00200    68400816.00000000 41676796.00000000 106783520.00000000 51343.67968750  3747962.50000000 2925591.00000000 
0.00300    68321600.00000000 41628644.00000000 106659864.00000000 51277.42187500  3743308.50000000 2921987.25000000 
0.00400    68211368.00000000 41561716.00000000 106488640.00000000 51184.53515625  3736822.75000000 2916906.00000000 
0.00500    68069576.00000000 41475836.00000000 106267664.00000000 51065.46093750  3728466.25000000 2910412.75000000 
0.00600    67895400.00000000 41370868.00000000 105998880.00000000 50920.49609375  3718321.00000000 2902491.75000000 
0.00700    67691944.00000000 41247344.00000000 105682464.00000000 50749.69140625  3706331.00000000 2893158.75000000 
0.00800    67458304.00000000 41105888.00000000 105317128.00000000 50553.44921875  3692590.50000000 2882440.00000000 
0.00900    67195512.00000000 40946004.00000000 104906344.00000000 50332.11328125  3677063.75000000 2870359.00000000 
0.01000    66901808.00000000 40767920.00000000 104450288.00000000 50085.96093750  3659839.25000000 2856912.00000000 
0.01100    66579488.00000000 40572520.00000000 103948368.00000000 49815.74218750  3640868.25000000 2842158.00000000 
0.01200    66229032.00000000 40359916.00000000 103401736.00000000 49521.73828125  3620273.50000000 2826088.25000000 
0.01300    65850792.00000000 40130472.00000000 102812352.00000000 49204.39453125  3598009.50000000 2808755.00000000 
0.01400    65444760.00000000 39884200.00000000 102180528.00000000 48864.46875000  3574174.75000000 2790158.00000000 
0.01500    65012844.00000000 39622124.00000000 101507704.00000000 48502.19140625  3548757.25000000 2770369.25000000 
0.01600    64554812.00000000 39344348.00000000 100794360.00000000 48118.60156250  3521854.75000000 2749399.75000000 
0.01700    64072008.00000000 39051180.00000000 100041848.00000000 47714.23046875  3493467.00000000 2727281.75000000 
0.01800    63564924.00000000 38743772.00000000 99251800.00000000 47289.67578125  3463684.50000000 2704064.00000000 
0.01900    63034152.00000000 38421788.00000000 98425600.00000000 46845.98828125  3432537.75000000 2679775.00000000 
0.02000    62481364.00000000 38086328.00000000 97563504.00000000 46383.34765625  3400068.25000000 2654482.50000000 
0.02100    61906536.00000000 37737564.00000000 96668464.00000000 45903.26562500  3366321.25000000 2628198.75000000 
0.02200    61311456.00000000 37376468.00000000 95741272.00000000 45405.92578125  3331393.00000000 2600968.25000000 
0.02300    60696592.00000000 37003348.00000000 94783304.00000000 44892.56250000  3295313.00000000 2572851.25000000 
0.02400    60063244.00000000 36618964.00000000 93796456.00000000 44363.89453125  3258144.00000000 2543875.00000000 
0.02500    59411512.00000000 36223732.00000000 92781640.00000000 43820.36328125  3219965.00000000 2514108.75000000 
0.02600    58743812.00000000 35818428.00000000 91741096.00000000 43263.94140625  3180777.00000000 2483599.75000000 
0.02700    58060528.00000000 35403780.00000000 90676592.00000000 42694.29296875  3140743.25000000 2452367.00000000 
0.02800    57362268.00000000 34979968.00000000 89588576.00000000 42113.33984375  3099835.25000000 2420489.25000000 
0.02900    56650796.00000000 34548384.00000000 88479928.00000000 41521.26562500  3058165.75000000 2388005.50000000 
0.03000    55926924.00000000 34108848.00000000 87352256.00000000 40919.45703125  3015780.00000000 2354975.25000000 
0.03100    55191948.00000000 33662860.00000000 86207152.00000000 40308.55078125  2972743.75000000 2321433.50000000 
0.03200    54446836.00000000 33210546.00000000 85046064.00000000 39689.50781250  2929126.75000000 2287436.00000000 
0.03300    53692620.00000000 32752770.00000000 83870504.00000000 39063.47265625  2885022.25000000 2253057.75000000 
0.03400    52930368.00000000 32290042.00000000 82682920.00000000 38431.42187500  2840440.50000000 2218303.25000000 
0.03500    52161356.00000000 31823178.00000000 81484576.00000000 37794.06250000  2795472.75000000 2183249.50000000 
0.03600    51386552.00000000 31352824.00000000 80277296.00000000 37152.21484375  2750203.00000000 2147963.00000000 
0.03700    50607060.00000000 30879756.00000000 79062760.00000000 36507.12890625  2704660.75000000 2112459.00000000 
0.03800    49823968.00000000 30404486.00000000 77842280.00000000 35859.55078125  2658939.00000000 2076810.00000000 
0.03900    49038552.00000000 29927478.00000000 76618360.00000000 35210.31640625  2613064.50000000 2041061.25000000 
0.04000    48251324.00000000 29449712.00000000 75391976.00000000 34560.39843750  2567144.25000000 2005257.25000000 
0.04100    47463956.00000000 28971548.00000000 74164872.00000000 33910.37109375  2521211.00000000 1969439.75000000 
0.04200    46677304.00000000 28493730.00000000 72938384.00000000 33261.52734375  2475334.50000000 1933662.37500000 
0.04300    45892128.00000000 28017058.00000000 71714480.00000000 32614.48828125  2429532.25000000 1897979.37500000 
0.04400    45109432.00000000 27541794.00000000 70495072.00000000 31969.78515625  2383932.25000000 1862418.62500000 
0.04500    44330276.00000000 27068714.00000000 69280784.00000000 31328.56835938  2338550.25000000 1827028.75000000 
0.04600    43555456.00000000 26598310.00000000 68073552.00000000 30691.36328125  2293429.25000000 1791853.12500000 
0.04700    42786356.00000000 26131124.00000000 66874320.00000000 30058.99414062  2248628.25000000 1756920.50000000 
0.04800    42023116.00000000 25667552.00000000 65684828.00000000 29432.05078125  2204210.75000000 1722287.50000000 
0.04900    41266940.00000000 25208354.00000000 64506140.00000000 28811.21093750  2160211.25000000 1687984.37500000 
0.05000    40518736.00000000 24754062.00000000 63339964.00000000 28197.27734375  2116677.75000000 1654048.00000000 
0.05100    39779204.00000000 24304710.00000000 62186968.00000000 27590.54882812  2073672.12500000 1620507.62500000 
0.05200    39048464.00000000 23861146.00000000 61048436.00000000 26991.83789062  2031210.00000000 1587391.12500000 
