# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2071558051
# chain_id=0
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,scale
-2316.57,0.98139,0.000183727,7,127,0,2330.57,0.717552,0.0667551,0.0264049,0.114926,0.0743622,3.02719
-2303.6,0.991571,0.000305332,6,63,0,2317.46,0.712337,0.067289,0.0269191,0.117423,0.0760325,3.03051
-2285.28,0.343345,0.000516087,5,31,0,2306.28,0.706833,0.0666848,0.027628,0.12072,0.0781346,3.03479
-2284.72,0.929623,0.000187899,7,127,0,2289.04,0.704753,0.0675173,0.027782,0.121348,0.0785996,3.03355
-1940.35,0.949216,0.0002735,9,511,0,2288.19,0.568203,0.0783195,0.0393489,0.171111,0.143018,3.1267
-1940.96,0.964954,0.000414475,4,15,0,1941.25,0.56846,0.0783031,0.0393062,0.171016,0.142915,3.12693
-1941.28,0.155622,0.000647673,2,5,1,1945.74,0.568659,0.0783063,0.0393086,0.170795,0.142931,3.12709
-1909.93,0.993935,0.000156834,9,511,0,1945.37,0.556151,0.0802818,0.0423966,0.170694,0.150476,3.13728
-1823.19,0.936002,0.000261788,10,1023,0,1911.31,0.0914785,0.194163,0.114356,0.225975,0.374028,3.55169
-1812.32,0.991971,0.000380606,6,63,0,1824.83,0.0939215,0.194456,0.113475,0.227647,0.3705,3.54881
-1812.28,0.265411,0.000624645,2,5,0,1815.05,0.0938751,0.194381,0.113521,0.227841,0.370383,3.54877
-1792.52,0.969409,0.000200097,7,127,0,1813.38,0.0962583,0.198186,0.109205,0.232153,0.364197,3.54291
-1788.23,0.857285,0.000311454,6,63,0,1794.95,0.0969409,0.196595,0.108398,0.234506,0.36356,3.53838
-1780.87,0.759212,0.000376137,7,127,0,1791.14,0.0997409,0.198181,0.107175,0.234396,0.360507,3.53465
-1768.18,0.928513,0.000365166,6,63,0,1782.18,0.103188,0.196002,0.104965,0.238285,0.35756,3.52833
-1731.87,0.421437,0.000513422,6,95,0,1768.4,0.10901,0.197239,0.0964812,0.251245,0.346025,3.51438
