# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.00000    753627392.00000000 469727008.00000000 1189961984.00000000 402595.03125000 34837164.00000000 27503572.00000000 
0.00100    753422656.00000000 469602944.00000000 1189653120.00000000 402444.12500000 34825936.00000000 27494690.00000000 
0.00200    752826752.00000000 469230272.00000000 1188705408.00000000 401989.31250000 34792276.00000000 27468012.00000000 
0.00300    751829504.00000000 468609856.00000000 1187138176.00000000 401233.90625000 34736208.00000000 27423720.00000000 
0.00400    750434112.00000000 467741472.00000000 1184926848.00000000 400180.62500000 34657736.00000000 27362032.00000000 
0.00500    748653952.00000000 466629760.00000000 1182105728.00000000 398830.03125000 34557352.00000000 27282816.00000000 
0.00600    746474944.00000000 465273184.00000000 1178663680.00000000 397182.37500000 34434924.00000000 27186004.00000000 
0.00700    743911552.00000000 463673600.00000000 1174610304.00000000 395245.65625000 34290744.00000000 27072344.00000000 
0.00800    740962624.00000000 461835008.00000000 1169965824.00000000 393023.03125000 34125012.00000000 26941772.00000000 
0.00900    737631488.00000000 459761376.00000000 1164706432.00000000 390516.00000000 33938460.00000000 26794214.00000000 
0.01000    733925440.00000000 457453792.00000000 1158871680.00000000 387734.43750000 33730896.00000000 26630502.00000000 
0.01100    729851456.00000000 454918912.00000000 1152431104.00000000 384679.46875000 33503146.00000000 26450782.00000000 
0.01200    725423616.00000000 452159872.00000000 1145431296.00000000 381363.56250000 33255124.00000000 26255170.00000000 
0.01300    720634432.00000000 449177600.00000000 1137880320.00000000 377788.93750000 32987662.00000000 26044060.00000000 
0.01400    715491968.00000000 445981216.00000000 1129783168.00000000 373962.34375000 32701244.00000000 25818134.00000000 
0.01500    710026048.00000000 442573504.00000000 1121153152.00000000 369897.25000000 32396322.00000000 25577414.00000000 
0.01600    704218496.00000000 438962784.00000000 1111975552.00000000 365593.21875000 32073352.00000000 25322746.00000000 
0.01700    698093248.00000000 435149440.00000000 1102317696.00000000 361068.81250000 31733146.00000000 25054380.00000000 
0.01800    691656704.00000000 431141376.00000000 1092169216.00000000 356328.28125000 31375986.00000000 24772348.00000000 
0.01900    684922304.00000000 426947136.00000000 1081538432.00000000 351381.25000000 31002986.00000000 24478120.00000000 
0.02000    677905600.00000000 422572288.00000000 1070442944.00000000 346238.09375000 30614206.00000000 24171484.00000000 
0.02100    670601792.00000000 418019904.00000000 1058902784.00000000 340909.65625000 30210708.00000000 23853068.00000000 
0.02200    663022912.00000000 413299456.00000000 1046944640.00000000 335405.96875000 29793238.00000000 23523688.00000000 
0.02300    655177216.00000000 408419136.00000000 1034574208.00000000 329736.90625000 29362460.00000000 23183784.00000000 
0.02400    647094400.00000000 403383072.00000000 1021813760.00000000 323915.93750000 28918892.00000000 22833784.00000000 
0.02500    638776448.00000000 398207200.00000000 1008686592.00000000 317951.84375000 28463690.00000000 22474504.00000000 
0.02600    630225408.00000000 392884416.00000000 995207296.00000000 311858.21875000 27997348.00000000 22106630.00000000 
0.02700    621462848.00000000 387437056.00000000 981392832.00000000 305643.59375000 27520614.00000000 21730524.00000000 
0.02800    612506816.00000000 381862240.00000000 967269248.00000000 299324.87500000 27034192.00000000 21346858.00000000 
0.02900    603377216.00000000 376175808.00000000 952844736.00000000 292904.96875000 26539284.00000000 20956214.00000000 
0.03000    594061440.00000000 370380288.00000000 938153664.00000000 286403.90625000 26036368.00000000 20559472.00000000 
0.03100    584594112.00000000 364484832.00000000 923209600.00000000 279829.46875000 25526336.00000000 20157062.00000000 
0.03200    574979136.00000000 358499264.00000000 908035456.00000000 273193.37500000 25009840.00000000 19749440.00000000 
0.03300    565231552.00000000 352432224.00000000 892656192.00000000 266507.59375000 24487906.00000000 19337788.00000000 
0.03400    555364864.00000000 346291584.00000000 877089344.00000000 259785.14062500 23961530.00000000 18922386.00000000 
0.03500    545404800.00000000 340088544.00000000 861360704.00000000 253034.04687500 23430968.00000000 18503802.00000000 
0.03600    535332864.00000000 333822368.00000000 845473088.00000000 246267.51562500 22897224.00000000 18082870.00000000 
0.03700    525174112.00000000 327501312.00000000 829441024.00000000 239494.26562500 22360896.00000000 17659756.00000000 
0.03800    514948672.00000000 321132672.00000000 813308352.00000000 232727.03125000 21823116.00000000 17235244.00000000 
0.03900    504665632.00000000 314733376.00000000 797086592.00000000 225975.70312500 21284426.00000000 16810400.00000000 
0.04000    494340256.00000000 308309632.00000000 780790592.00000000 219249.65625000 20745586.00000000 16385083.00000000 
0.04100    483984224.00000000 301864704.00000000 764452160.00000000 212559.56250000 20207366.00000000 15960494.00000000 
0.04200    473608416.00000000 295406560.00000000 748085056.00000000 205914.48437500 19670334.00000000 15536763.00000000 
