# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.04300    463223104.00000000 288944768.00000000 731700480.00000000 199323.40625000 19135364.00000000 15114661.00000000 
0.04400    452847584.00000000 282486400.00000000 715321984.00000000 192796.60937500 18602904.00000000 14694578.00000000 
0.04500    442486016.00000000 276035776.00000000 698977216.00000000 186342.32812500 18073684.00000000 14277073.00000000 
0.04600    432148384.00000000 269603968.00000000 682662848.00000000 179966.48437500 17548352.00000000 13862661.00000000 
0.04700    421846656.00000000 263193680.00000000 666414080.00000000 173677.93750000 17027792.00000000 13451713.00000000 
0.04800    411593792.00000000 256813952.00000000 650238976.00000000 167482.59375000 16512088.00000000 13044917.00000000 
0.04900    401399328.00000000 250470928.00000000 634154368.00000000 161390.34375000 16001843.00000000 12642384.00000000 
0.05000    391274720.00000000 244169312.00000000 618178432.00000000 155404.90625000 15497941.00000000 12244844.00000000 
0.05100    381225344.00000000 237916464.00000000 602323520.00000000 149534.90625000 15000569.00000000 11852359.00000000 
0.05200    371264096.00000000 231716352.00000000 586611776.00000000 143781.07812500 14510364.00000000 11465546.00000000 
0.05300    361393728.00000000 225577280.00000000 571044480.00000000 138153.90625000 14027638.00000000 11084694.00000000 
0.05400    351633088.00000000 219501488.00000000 555640896.00000000 132652.68750000 13552873.00000000 10710114.00000000 
0.05500    341978784.00000000 213496016.00000000 540415040.00000000 127285.71875000 13086487.00000000 10342045.00000000 
0.05600    332447264.00000000 207564304.00000000 525372480.00000000 122055.43750000 12628735.00000000 9980832.00000000 
0.05700    323039264.00000000 201709904.00000000 510531008.00000000 116964.10937500 12180005.00000000 9626871.00000000 
0.05800    313767296.00000000 195938576.00000000 495899616.00000000 112014.66406250 11740625.00000000 9280111.00000000 
0.05900    304634176.00000000 190254192.00000000 481484320.00000000 107209.96093750 11310813.00000000 8940947.00000000 
0.06000    295646048.00000000 184659840.00000000 467298560.00000000 102551.11718750 10890708.00000000 8609480.00000000 
0.06100    286802688.00000000 179158048.00000000 453352896.00000000 98041.10156250  10480774.00000000 8286011.00000000 
0.06200    278117984.00000000 173755536.00000000 439651040.00000000 93679.30468750  10081089.00000000 7970549.50000000 
0.06300    269594624.00000000 168451056.00000000 426203040.00000000 89468.03125000  9691652.00000000 7663348.00000000 
0.06400    261228576.00000000 163247648.00000000 413011808.00000000 85405.39062500  9312840.00000000 7364325.50000000 
0.06500    253034976.00000000 158149248.00000000 400085088.00000000 81493.21875000  8944576.00000000 7073769.50000000 
0.06600    245013264.00000000 153157104.00000000 387428288.00000000 77729.12500000  8586973.00000000 6791546.00000000 
0.06700    237164592.00000000 148271920.00000000 375042208.00000000 74112.93750000  8240136.50000000 6517847.00000000 
0.06800    229490736.00000000 143497392.00000000 362938496.00000000 70643.70312500  7904124.00000000 6252587.00000000 
0.06900    221997856.00000000 138833088.00000000 351114688.00000000 67320.77343750  7578751.00000000 5995915.50000000 
0.07000    214687936.00000000 134281584.00000000 339578528.00000000 64141.21093750  7264249.50000000 5747596.00000000 
0.07100    207559472.00000000 129847208.00000000 328332128.00000000 61102.21875000  6960406.00000000 5507811.50000000 
0.07200    200613136.00000000 125524848.00000000 317372800.00000000 58202.64062500  6667211.00000000 5276381.50000000 
0.07300    193853984.00000000 121316368.00000000 306705216.00000000 55439.51562500  6384599.00000000 5053339.00000000 
0.07400    187277440.00000000 117221640.00000000 296328992.00000000 52809.53906250  6112457.00000000 4838500.50000000 
0.07500    180883136.00000000 113242632.00000000 286239776.00000000 50309.87890625  5850639.50000000 4631841.00000000 
0.07600    174674832.00000000 109377016.00000000 276443488.00000000 47937.20312500  5599025.00000000 4433212.50000000 
0.07700    168649552.00000000 105625784.00000000 266933952.00000000 45688.08203125  5357477.50000000 4242546.00000000 
0.07800    162806848.00000000 101988496.00000000 257713568.00000000 43558.98828125  5125827.50000000 4059666.00000000 
0.07900    157143504.00000000 98463368.00000000 248778448.00000000 41545.38281250  4903838.00000000 3884424.00000000 
0.08000    151661984.00000000 95050264.00000000 240126128.00000000 39644.95312500  4691370.00000000 3716694.50000000 
0.08100    146360864.00000000 91748096.00000000 231757840.00000000 37852.17187500  4488224.00000000 3556308.00000000 
0.08200    141232720.00000000 88555144.00000000 223665968.00000000 36163.82812500  4294138.50000000 3403054.75000000 
0.08300    136279280.00000000 85470232.00000000 215848096.00000000 34575.94140625  4108936.75000000 3256808.25000000 
0.08400    131497248.00000000 82493008.00000000 208300960.00000000 33083.45703125  3932328.00000000 3117359.00000000 
0.08500    126886208.00000000 79619232.00000000 201021760.00000000 31683.02343750  3764153.00000000 2984543.75000000 
0.08600    122440008.00000000 76850176.00000000 194005296.00000000 30369.92578125  3604056.25000000 2858100.75000000 
0.08700    118158200.00000000 74182304.00000000 187245040.00000000 29139.97265625  3451840.00000000 2737915.50000000 
0.08800    114036424.00000000 71615176.00000000 180739584.00000000 27989.17578125  3307258.50000000 2623710.50000000 
0.08900    110072704.00000000 69145048.00000000 174481072.00000000 26913.43945312  3170047.25000000 2515343.25000000 
0.09000    106262128.00000000 66770460.00000000 168465728.00000000 25908.51757812  3039907.25000000 2412530.00000000 
0.09100    102602848.00000000 64490220.00000000 162686912.00000000 24970.28710938  2916576.25000000 2315127.75000000 
0.09200    99090112.00000000 62300196.00000000 157139936.00000000 24094.30078125  2799801.00000000 2222919.00000000 
0.09300    95720248.00000000 60200504.00000000 151819344.00000000 23277.66601562  2689331.50000000 2135619.25000000 
0.09400    92490456.00000000 58186608.00000000 146717824.00000000 22515.60546875  2584859.75000000 2053097.62500000 
0.09500    89395544.00000000 56257404.00000000 141831072.00000000 21804.88085938  2486143.75000000 1975132.25000000 
0.09600    86432432.00000000 54410284.00000000 137151616.00000000 21141.62304688  2392938.00000000 1901477.75000000 
0.09700    83597600.00000000 52642700.00000000 132674400.00000000 20522.73437500  2304984.25000000 1831967.62500000 
0.09800    80886096.00000000 50951932.00000000 128393776.00000000 19944.43359375  2221977.00000000 1766396.37500000 
0.09900    78295248.00000000 49336732.00000000 124301640.00000000 19403.56054688  2143711.00000000 1704552.87500000 
0.10000    75820072.00000000 47793236.00000000 120392424.00000000 18897.02929688  2069918.37500000 1646249.75000000 
0.10100    73457280.00000000 46319548.00000000 116659864.00000000 18421.72265625  2000349.37500000 1591296.12500000 
0.10200    71201800.00000000 44913492.00000000 113099496.00000000 17974.79687500  1934812.37500000 1539499.87500000 
0.10300    69050752.00000000 43571808.00000000 109701328.00000000 17553.52148438  1873008.50000000 1490677.00000000 
0.10400    67000076.00000000 42293212.00000000 106462736.00000000 17155.80859375  1814760.37500000 1444654.50000000 
0.10500    65046084.00000000 41075484.00000000 103376464.00000000 16778.72070312  1759844.12500000 1401275.00000000 
0.10600    63184340.00000000 39913584.00000000 100435112.00000000 16420.02929688  1708023.25000000 1360344.75000000 
0.10700    61411148.00000000 38808600.00000000 97636080.00000000 16077.94726562  1659151.37500000 1321730.37500000 
0.10800    59722404.00000000 37756048.00000000 94970360.00000000 15750.31054688  1612964.37500000 1285264.87500000 
0.10900    58115940.00000000 36754384.00000000 92432776.00000000 15435.01367188  1569341.25000000 1250785.75000000 
0.11000    56586332.00000000 35801208.00000000 90016896.00000000 15130.80371094  1528053.12500000 1218185.62500000 
0.11100    55131348.00000000 34894504.00000000 87720104.00000000 14835.82617188  1488949.37500000 1187308.75000000 
0.11200    53746088.00000000 34031888.00000000 85533392.00000000 14548.95507812  1451850.62500000 1158008.75000000 
0.11300    52428628.00000000 33211462.00000000 83454256.00000000 14268.71582031  1416606.75000000 1130185.37500000 
0.11400    51174684.00000000 32431066.00000000 81475912.00000000 13993.91113281  1383071.75000000 1103728.62500000 
0.11500    49982044.00000000 31688476.00000000 79593816.00000000 13723.68457031  1351113.87500000 1078494.12500000 
0.11600    48846308.00000000 30982068.00000000 77801808.00000000 13457.07324219  1320590.50000000 1054399.25000000 
0.11700    47764988.00000000 30309968.00000000 76096840.00000000 13193.43652344  1291381.87500000 1031351.43750000 
0.11800    46735000.00000000 29669704.00000000 74473296.00000000 12931.59960938  1263333.00000000 1009232.31250000 
0.11900    45753420.00000000 29060206.00000000 72925808.00000000 12671.60742188  1236382.62500000 987961.81250000 
0.12000    44817556.00000000 28479536.00000000 71451048.00000000 12412.63281250  1210411.25000000 967476.68750000 
0.12100    43925384.00000000 27926050.00000000 70044528.00000000 12154.47363281  1185336.25000000 947697.87500000 
0.12200    43073148.00000000 27398024.00000000 68703440.00000000 11896.67382812  1161037.25000000 928532.00000000 
0.12300    42258816.00000000 26893626.00000000 67422464.00000000 11639.07714844  1137445.62500000 909940.68750000 
0.12400    41480108.00000000 26411562.00000000 66196728.00000000 11381.58496094  1114493.87500000 891831.18750000 
0.12500    40734096.00000000 25950526.00000000 65023608.00000000 11124.19433594  1092111.00000000 874171.00000000 
0.12600    40020012.00000000 25509692.00000000 63900532.00000000 10866.79882812  1070226.37500000 856921.50000000 
0.12700    39334388.00000000 25086674.00000000 62823112.00000000 10609.40136719  1048786.62500000 840008.75000000 
0.12800    38675688.00000000 24680272.00000000 61788296.00000000 10352.18164062  1027736.62500000 823402.50000000 
0.12900    38041360.00000000 24290144.00000000 60793468.00000000 10095.47167969  1007027.56250000 807069.00000000 
0.13000    37430672.00000000 23914236.00000000 59834788.00000000 9839.09472656   986628.25000000 790976.37500000 
0.13100    36840932.00000000 23551756.00000000 58909996.00000000 9583.57519531   966486.06250000 775080.56250000 
0.13200    36271020.00000000 23201802.00000000 58016532.00000000 9329.03710938   946576.75000000 759357.50000000 
0.13300    35718932.00000000 22863422.00000000 57151820.00000000 9075.78222656   926868.00000000 743792.81250000 
0.13400    35183584.00000000 22535198.00000000 56313412.00000000 8824.13378906   907346.43750000 728372.62500000 
0.13500    34663432.00000000 22216760.00000000 55498620.00000000 8574.36132812   887979.87500000 713058.68750000 
0.13600    34156688.00000000 21907058.00000000 54706576.00000000 8326.86425781   868753.56250000 697853.75000000 
0.13700    33662728.00000000 21605156.00000000 53933476.00000000 8081.90332031   849641.68750000 682739.00000000 
0.13800    33179822.00000000 21310276.00000000 53178536.00000000 7839.82373047   830655.25000000 667707.31250000 
0.13900    32707270.00000000 21022066.00000000 52440216.00000000 7601.01318359   811767.43750000 652750.37500000 
0.14000    32244078.00000000 20739492.00000000 51716236.00000000 7365.84521484   792980.62500000 637857.56250000 
0.14100    31789080.00000000 20462012.00000000 51005136.00000000 7134.46484375   774297.62500000 623033.37500000 
0.14200    31341252.00000000 20189144.00000000 50305584.00000000 6907.33691406   755690.93750000 608274.62500000 
0.14300    30899980.00000000 19920354.00000000 49616856.00000000 6684.71923828   737188.06250000 593573.31250000 
0.14400    30464356.00000000 19654852.00000000 48936396.00000000 6466.87548828   718766.31250000 578932.75000000 
0.14500    30033710.00000000 19392548.00000000 48263740.00000000 6254.13085938   700455.50000000 564364.43750000 
0.14600    29607558.00000000 19133036.00000000 47598164.00000000 6046.81640625   682237.68750000 549862.68750000 
0.14700    29185376.00000000 18875798.00000000 46938076.00000000 5845.08007812   664130.81250000 535432.06250000 
0.14800    28766186.00000000 18620058.00000000 46282916.00000000 5649.04296875   646135.75000000 521069.37500000 
0.14900    28349534.00000000 18366042.00000000 45632144.00000000 5458.96435547   628257.56250000 506798.18750000 
0.15000    27935446.00000000 18113334.00000000 44984772.00000000 5275.15234375   610506.06250000 492612.34375000 
0.15100    27523158.00000000 17861400.00000000 44340008.00000000 5097.58837891   592900.18750000 478520.15625000 
0.15200    27112884.00000000 17610450.00000000 43697176.00000000 4926.54296875   575440.56250000 464537.09375000 
0.15300    26703570.00000000 17359906.00000000 43056480.00000000 4761.89062500   558130.00000000 450657.34375000 
0.15400    26295052.00000000 17109726.00000000 42416596.00000000 4604.00732422   540982.50000000 436892.50000000 
0.15500    25887666.00000000 16859622.00000000 41777724.00000000 4452.77246094   524011.87500000 423251.78125000 
0.15600    25480654.00000000 16609695.00000000 41139048.00000000 4308.19531250   507222.81250000 409742.50000000 
0.15700    25074348.00000000 16359789.00000000 40501508.00000000 4170.48779297   490629.18750000 396376.09375000 
0.15800    24668232.00000000 16109691.00000000 39863300.00000000 4039.42407227   474242.50000000 383150.56250000 
0.15900    24262470.00000000 15859409.00000000 39225776.00000000 3915.09033203   458065.96875000 370088.46875000 
0.16000    23856844.00000000 15608692.00000000 38587240.00000000 3797.41259766   442113.25000000 357185.75000000 
0.16100    23451722.00000000 15358006.00000000 37949492.00000000 3686.40454102   426394.65625000 344454.62500000 
0.16200    23046486.00000000 15106962.00000000 37311128.00000000 3581.85766602   410919.06250000 331905.21875000 
0.16300    22641846.00000000 14855555.00000000 36672420.00000000 3483.78149414   395684.81250000 319535.53125000 
0.16400    22237208.00000000 14603834.00000000 36033592.00000000 3391.99951172   380720.31250000 307360.62500000 
0.16500    21833172.00000000 14352031.00000000 35395456.00000000 3306.45678711   366015.43750000 295384.18750000 
0.16600    21429532.00000000 14100071.00000000 34756916.00000000 3226.93481445   351591.65625000 283615.21875000 
0.16700    21026522.00000000 13847838.00000000 34118860.00000000 3153.28027344   337445.96875000 272057.93750000 
0.16800    20624050.00000000 13595617.00000000 33481384.00000000 3085.35205078   323582.06250000 260713.75000000 
0.16900    20222804.00000000 13343701.00000000 32844550.00000000 3023.10131836   310024.28125000 249599.68750000 
0.17000    19822386.00000000 13091780.00000000 32208972.00000000 2966.17260742   296762.78125000 238712.40625000 
0.17100    19423228.00000000 12840123.00000000 31574686.00000000 2914.43457031   283802.59375000 228054.56250000 
0.17200    19025460.00000000 12588801.00000000 30941998.00000000 2867.77636719   271163.43750000 217640.25000000 
0.17300    18629398.00000000 12338118.00000000 30311178.00000000 2825.86230469   258834.12500000 207470.42187500 
0.17400    18235344.00000000 12088189.00000000 29682678.00000000 2788.64892578   246832.45312500 197547.29687500 
0.17500    17843144.00000000 11838824.00000000 29057052.00000000 2755.80053711   235149.43750000 187874.98437500 
0.17600    17452990.00000000 11590390.00000000 28433668.00000000 2727.13769531   223790.93750000 178451.75000000 
0.17700    17065524.00000000 11343155.00000000 27814210.00000000 2702.52807617   212769.06250000 169290.20312500 
0.17800    16680748.00000000 11097058.00000000 27198106.00000000 2681.61938477   202076.59375000 160383.65625000 
0.17900    16299073.00000000 10852338.00000000 26586168.00000000 2664.42187500   191723.93750000 151744.62500000 
0.18000    15920465.00000000 10609197.00000000 25979148.00000000 2650.51660156   181705.37500000 143368.03125000 
0.18100    15545464.00000000 10367908.00000000 25377150.00000000 2639.89916992   172030.15625000 135264.82812500 
0.18200    15173770.00000000 10128236.00000000 24779398.00000000 2632.15136719   162682.78125000 127417.01562500 
0.18300    14806046.00000000 9890693.00000000 24187694.00000000 2627.23486328   153677.96875000 119842.12500000 
0.18400    14442418.00000000 9655149.00000000 23602092.00000000 2624.90429688   145012.81250000 112534.85156250 
0.18500    14083260.00000000 9422048.00000000 23022688.00000000 2624.98339844   136685.81250000 105498.22656250 
0.18600    13728604.00000000 9191439.00000000 22450342.00000000 2627.25146484   128692.50781250 98728.69531250  
0.18700    13378731.00000000 8963364.00000000 21884842.00000000 2631.56396484   121035.67187500 92230.28125000  
0.18800    13033860.00000000 8738110.00000000 21326824.00000000 2637.72778320   113709.89062500 85995.87500000  
0.18900    12694145.00000000 8515986.00000000 20777006.00000000 2645.63549805   106722.26562500 80034.10156250  
0.19000    12359685.00000000 8296589.50000000 20234612.00000000 2654.98852539   100052.84375000 74331.73437500  
0.19100    12031153.00000000 8080729.00000000 19701626.00000000 2665.84716797   93723.17187500  68901.84375000  
0.19200    11708067.00000000 7867891.50000000 19176654.00000000 2677.77001953   87700.92187500  63726.04296875  
0.19300    11391183.00000000 7658820.00000000 18661320.00000000 2690.90283203   82008.07031250  58817.73437500  
0.19400    11080134.00000000 7453068.50000000 18155062.00000000 2704.87524414   76621.75781250  54159.85546875  
0.19500    10775544.00000000 7251122.50000000 17658438.00000000 2719.68823242   71549.14062500  49758.92187500  
0.19600    10477178.00000000 7052920.00000000 17171712.00000000 2735.14648438   66777.71093750  45607.33203125  
0.19700    10185388.00000000 6858713.00000000 16695068.00000000 2751.17089844   62309.49609375  41704.72656250  
0.19800    9900130.00000000 6668452.50000000 16228663.00000000 2767.58813477   58131.44921875  38043.41406250  
0.19900    9621822.00000000 6482320.00000000 15772957.00000000 2784.36669922   54245.00390625  34624.61718750  
0.20000    9350126.00000000 6300322.50000000 15327772.00000000 2801.36010742   50634.25781250  31436.39453125  
0.20100    9085268.00000000 6122498.50000000 14893432.00000000 2818.40185547   47305.56250000  28481.73046875  
0.20200    8827492.00000000 5948953.00000000 14469965.00000000 2835.51196289   44239.39062500  25751.67187500  
0.20300    8576814.00000000 5779940.50000000 14057847.00000000 2852.56860352   41440.90234375  23243.76367188  
0.20400    8333117.00000000 5615150.50000000 13656665.00000000 2869.43188477   38892.63671875  20948.50195312  
0.20500    8096473.00000000 5454866.00000000 13266634.00000000 2886.04614258   36592.66796875  18863.45507812  
0.20600    7866847.50000000 5298960.50000000 12887957.00000000 2902.35620117   34526.28906250  16978.48046875  
0.20700    7644386.50000000 5147652.00000000 12520687.00000000 2918.26464844   32695.39648438  15293.41015625  
0.20800    7428999.50000000 5000701.50000000 12164505.00000000 2933.73730469   31082.89648438  13797.14746094  
0.20900    7220907.50000000 4858521.50000000 11820129.00000000 2948.78857422   29694.36328125  12491.60058594  
0.21000    7019530.00000000 4720634.50000000 11486429.00000000 2963.14843750   28502.33398438  11357.83789062  
0.21100    6825289.00000000 4587223.50000000 11164241.00000000 2976.92529297   27509.83984375  10395.78222656  
0.21200    6637906.00000000 4458352.50000000 10852950.00000000 2990.04711914   26703.68359375  9596.67968750   
0.21300    6457310.50000000 4333805.00000000 10552877.00000000 3002.40869141   26076.61914062  8956.07617188   
0.21400    6283557.00000000 4213725.00000000 10263657.00000000 3014.07080078   25620.76953125  8465.10742188   
0.21500    6116637.50000000 4098084.25000000 9985508.00000000 3024.96435547   25330.85742188  8121.05761719   
0.21600    5956036.00000000 3986649.50000000 9717743.00000000 3034.96557617   25186.43164062  7906.96386719   
0.21700    5802013.00000000 3879472.00000000 9460498.00000000 3044.10278320   25186.51757812  7822.94042969   
0.21800    5654332.00000000 3776528.50000000 9213620.00000000 3052.40820312   25321.10546875  7858.46972656   
0.21900    5512774.50000000 3677618.50000000 8976656.00000000 3059.76538086   25576.86132812  8006.00683594   
0.22000    5377319.50000000 3582756.00000000 8749772.00000000 3066.18017578   25949.86718750  8260.11914062   
0.22100    5247858.50000000 3491965.50000000 8532752.00000000 3071.68261719   26433.54492188  8614.52539062   
0.22200    5124153.00000000 3404975.75000000 8325189.50000000 3076.24023438   27013.48437500  9060.06347656   
0.22300    5006006.50000000 3321710.00000000 8126503.00000000 3079.78955078   27678.45898438  9588.23046875   
0.22400    4893224.50000000 3242167.75000000 7936998.50000000 3082.37011719   28424.87109375  10192.16699219  
0.22500    4785965.00000000 3166273.75000000 7756468.50000000 3084.01782227   29249.52148438  10870.13281250  
0.22600    4683652.00000000 3093797.75000000 7584045.50000000 3084.63085938   30131.39257812  11607.74804688  
0.22700    4586329.50000000 3024781.75000000 7420085.00000000 3084.29003906   31075.09375000  12404.01464844  
0.22800    4493693.00000000 2958956.00000000 7263837.50000000 3082.94506836   32062.45117188  13248.39843750  
0.22900    4405574.50000000 2896263.50000000 7115065.00000000 3080.62963867   33090.51562500  14133.48144531  
0.23000    4321923.50000000 2836647.00000000 6973817.50000000 3077.39721680   34153.18750000  15059.64453125  
0.23100    4242459.00000000 2779917.50000000 6839436.50000000 3073.18774414   35239.89843750  16013.97363281  
0.23200    4166893.75000000 2725984.25000000 6711728.00000000 3068.04467773   36347.20703125  16992.33789062  
0.23300    4095132.50000000 2674772.25000000 6590483.00000000 3061.97827148   37463.99218750  17991.50585938  
0.23400    4027032.75000000 2626127.00000000 6475299.50000000 3055.04223633   38591.19921875  19003.33007812  
0.23500    3962219.75000000 2579808.25000000 6365819.50000000 3047.19653320   39714.23046875  20019.89648438  
0.23600    3900764.50000000 2535909.50000000 6261938.50000000 3038.50341797   40834.03515625  21043.70117188  
0.23700    3842295.75000000 2494145.50000000 6163200.50000000 3029.01733398   41941.79687500  22064.17773438  
0.23800    3786744.75000000 2454552.25000000 6069478.50000000 3018.71337891   43037.91015625  23080.48242188  
0.23900    3733756.50000000 2416791.50000000 5980146.50000000 3007.62646484   44108.03515625  24083.41015625  
0.24000    3683347.00000000 2380928.25000000 5895121.50000000 2995.82983398   45157.71484375  25074.66992188  
0.24100    3635298.75000000 2346831.00000000 5814313.50000000 2983.32080078   46180.53906250  26049.46093750  
0.24200    3589371.00000000 2314345.50000000 5737209.00000000 2970.19140625   47170.28125000  27002.66015625  
0.24300    3545407.75000000 2283330.25000000 5663530.00000000 2956.41943359   48123.17968750  27929.42968750  
0.24400    3503272.00000000 2253720.50000000 5592966.00000000 2941.99291992   49040.37500000  28830.53710938  
0.24500    3462786.25000000 2225394.25000000 5525297.50000000 2927.04711914   49913.94921875  29701.13867188  
0.24600    3423816.75000000 2198228.50000000 5460473.50000000 2911.56396484   50746.82031250  30538.66992188  
0.24700    3386224.75000000 2172160.50000000 5398074.00000000 2895.64575195   51535.53125000  31343.94726562  
0.24800    3349853.00000000 2147077.75000000 5337840.50000000 2879.23901367   52277.21484375  32113.92382812  
0.24900    3314557.75000000 2122859.50000000 5279561.00000000 2862.44409180   52969.53906250  32845.12890625  
0.25000    3280233.50000000 2099486.25000000 5223101.00000000 2845.29199219   53616.14062500  33538.39843750  
0.25100    3246694.75000000 2076770.50000000 5168040.50000000 2827.82861328   54209.17968750  34190.30078125  
0.25200    3214021.75000000 2054804.75000000 5114681.50000000 2810.08447266   54759.51562500  34806.10937500  
0.25300    3181866.50000000 2033262.25000000 5062322.00000000 2792.11328125   55255.31250000  35377.22265625  
0.25400    3150239.75000000 2012275.25000000 5010992.00000000 2773.94677734   55703.26171875  35908.54687500  
0.25500    3119003.25000000 1991646.50000000 4960436.00000000 2755.59741211   56101.21875000  36399.60546875  
0.25600    3088123.25000000 1971404.62500000 4910629.50000000 2737.13574219   56450.56250000  36848.25000000  
0.25700    3057433.50000000 1951416.37500000 4861284.00000000 2718.60302734   56751.06640625  37254.88281250  
0.25800    3027006.50000000 1931668.50000000 4812408.00000000 2700.01074219   57007.33984375  37623.60546875  
0.25900    2996582.25000000 1912080.00000000 4763786.00000000 2681.39575195   57216.96484375  37950.82812500  
0.26000    2966219.50000000 1892624.00000000 4715436.50000000 2662.79565430   57382.94140625  38241.72265625  
0.26100    2935749.25000000 1873180.25000000 4666927.00000000 2644.24731445   57503.40234375  38490.06640625  
0.26200    2905373.00000000 1853850.12500000 4618642.00000000 2625.81762695   57587.73828125  38706.17968750  
0.26300    2874658.00000000 1834417.37500000 4569927.00000000 2607.41015625   57626.57031250  38882.08593750  
0.26400    2843895.75000000 1815010.25000000 4521199.00000000 2589.19995117   57633.10156250  39026.16796875  
0.26500    2812923.25000000 1795517.25000000 4472284.00000000 2571.12060547   57602.07421875  39136.64062500  
0.26600    2781701.00000000 1775932.25000000 4422931.50000000 2553.26098633   57537.47265625  39215.62109375  
