# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2071558051
# chain_id=1
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,scale
-5090.73,1,0.000244141,1,1,0,3.35017e+06,0.0668843,0.13124,0.0946053,0.184368,0.522902,3.54507
-5090.73,0,14.3855,0,1,1,5092.03,0.0668843,0.13124,0.0946053,0.184368,0.522902,3.54507
-5090.73,0,2.43117,0,1,1,5093.87,0.0668843,0.13124,0.0946053,0.184368,0.522902,3.54507
-5090.73,0,0.239791,0,1,1,5091.39,0.0668843,0.13124,0.0946053,0.184368,0.522902,3.54507
-5090.73,0,0.0186273,0,1,1,5095.78,0.0668843,0.13124,0.0946053,0.184368,0.522902,3.54507
-5090.73,0,0.00130482,0,1,1,5094.11,0.0668843,0.13124,0.0946053,0.184368,0.522902,3.54507
-4703.24,1,8.85015e-05,2,3,0,5082.57,0.0668772,0.131263,0.0946075,0.18434,0.522912,3.53621
-4216.85,1,0.000135987,2,3,0,4677.1,0.0668669,0.131287,0.0946122,0.184329,0.522905,3.52075
-4077.49,1,0.000228818,1,1,0,4196.56,0.066872,0.131294,0.0946529,0.18429,0.522891,3.51393
-3942.16,1,0.000408639,1,1,0,4009.43,0.0668631,0.131231,0.0946583,0.184346,0.522901,3.49812
-3942.16,8.89537e-12,0.000758439,1,1,0,3943.73,0.0668631,0.131231,0.0946583,0.184346,0.522901,3.49812
-3927.17,0.997725,6.12567e-05,5,31,0,3944.05,0.0669332,0.131453,0.0948447,0.184404,0.522365,3.49794
-3920.98,0.982641,0.000118377,4,15,0,3929.57,0.0669222,0.131682,0.0947541,0.18439,0.522252,3.49785
-3920.12,0.993268,0.000220666,4,15,0,3922.08,0.06691,0.131715,0.0947604,0.184374,0.522241,3.49815
-3902.45,0.957959,0.000427577,4,15,0,3922.33,0.0668158,0.132035,0.0949869,0.184537,0.521625,3.49797
-3902.45,0.00293042,0.000743215,1,3,1,3906.41,0.0668158,0.132035,0.0949869,0.184537,0.521625,3.49797
-3887.13,0.998371,6.83282e-05,5,31,0,3903.48,0.0668119,0.132463,0.0949861,0.184505,0.521234,3.49779
-3884.39,0.983654,0.000136756,5,31,0,3889.58,0.0668232,0.132496,0.0950979,0.184458,0.521125,3.50002
-3858.58,0.993621,0.00026025,4,15,0,3889.07,0.0667386,0.133209,0.0948695,0.18484,0.520343,3.49942
-3603.34,0.290785,0.00050695,4,15,0,3863.29,0.0666015,0.138517,0.0966874,0.186889,0.511306,3.50365
-3597.15,0.997301,0.000120485,5,31,0,3606.14,0.0666612,0.138663,0.0966405,0.186976,0.511059,3.50532
-3483.16,0.999751,0.000237349,4,23,0,3600.59,0.0668732,0.141197,0.0971597,0.187976,0.506795,3.5067
-3366.98,1,0.000466433,4,15,0,3486.39,0.0674596,0.143538,0.0978799,0.18917,0.501952,3.50841
-3366.98,8.32895e-10,0.000908043,1,1,0,3368.3,0.0674596,0.143538,0.0978799,0.18917,0.501952,3.50841
-3353.19,0.999675,9.80362e-05,5,31,0,3369.91,0.0676038,0.144045,0.0977588,0.188964,0.501629,3.50805
-3341.08,0.992603,0.000191392,4,15,0,3355.25,0.0677337,0.144309,0.0978916,0.188886,0.501179,3.50894
-3299.54,0.696436,0.000362321,3,7,0,3343.56,0.0677674,0.145517,0.0978788,0.189246,0.499591,3.50705
-3149.24,0.999893,0.000295446,5,31,0,3306.44,0.068195,0.150225,0.0986634,0.187935,0.494982,3.50955
-2796.81,0.40719,0.000563015,5,31,0,3148.08,0.0688954,0.161164,0.100019,0.189455,0.480467,3.51767
-2714.4,0.999648,0.000206572,5,31,0,2801.83,0.0684394,0.164792,0.0997921,0.189612,0.477365,3.51819
-2706.94,0.985451,0.000390446,4,15,0,2716.97,0.0685507,0.164922,0.099992,0.189625,0.476911,3.51904
-2708.13,0.532305,0.000702644,2,3,0,2709.55,0.0686113,0.164879,0.0999837,0.189535,0.476991,3.51869
-2682.54,0.669875,0.00036947,4,15,0,2711.75,0.0685265,0.166134,0.0998054,0.189589,0.475944,3.517
