# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.00000    68462656.00000000 41715128.00000000 106882288.00000000 39727.85156250  3298419.25000000 2574687.00000000 
0.00100    68456880.00000000 41711736.00000000 106873192.00000000 39723.46484375  3298106.25000000 2574432.00000000 
0.00200    68439720.00000000 41701068.00000000 106846408.00000000 39709.88281250  3297116.00000000 2573675.00000000 
0.00300    68411040.00000000 41683652.00000000 106801192.00000000 39687.58203125  3295477.75000000 2572388.25000000 
0.00400    68370808.00000000 41659416.00000000 106738432.00000000 39656.25390625  3293189.00000000 2570626.25000000 
0.00500    68318440.00000000 41627864.00000000 106657288.00000000 39615.97656250  3290246.00000000 2568348.50000000 
0.00600    68254792.00000000 41589636.00000000 106558720.00000000 39566.87890625  3286667.00000000 2565563.50000000 
0.00700    68179680.00000000 41544688.00000000 106442128.00000000 39508.71093750  3282424.75000000 2562278.75000000 
0.00800    68093048.00000000 41492536.00000000 106307344.00000000 39441.91796875  3277542.75000000 2558487.50000000 
0.00900    67994808.00000000 41433620.00000000 106155280.00000000 39366.26171875  3272016.00000000 2554203.50000000 
0.01000    67884920.00000000 41367736.00000000 105986008.00000000 39281.88671875  3265849.50000000 2549422.25000000 
0.01100    67763816.00000000 41295180.00000000 105798952.00000000 39188.75390625  3259045.25000000 2544143.50000000 
0.01200    67631848.00000000 41215924.00000000 105594280.00000000 39086.89453125  3251616.25000000 2538366.25000000 
0.01300    67488584.00000000 41129932.00000000 105371912.00000000 38976.69921875  3243542.50000000 2532133.25000000 
0.01400    67334392.00000000 41037240.00000000 105132008.00000000 38858.01562500  3234860.00000000 2525380.25000000 
0.01500    67169032.00000000 40937960.00000000 104875704.00000000 38730.74609375  3225545.00000000 2518159.00000000 
0.01600    66992256.00000000 40831788.00000000 104602432.00000000 38595.19531250  3215622.50000000 2510457.25000000 
0.01700    66804952.00000000 40719308.00000000 104312280.00000000 38451.34765625  3205095.25000000 2502287.00000000 
0.01800    66606632.00000000 40600152.00000000 104005032.00000000 38299.37109375  3193950.75000000 2493654.50000000 
0.01900    66397784.00000000 40474772.00000000 103681000.00000000 38139.26171875  3182229.50000000 2484548.50000000 
0.02000    66178364.00000000 40343056.00000000 103340832.00000000 37971.08203125  3169899.75000000 2474987.50000000 
0.02100    65948296.00000000 40204764.00000000 102984312.00000000 37795.18750000  3156996.50000000 2464970.75000000 
0.02200    65707984.00000000 40060460.00000000 102611688.00000000 37611.23046875  3143509.00000000 2454504.50000000 
0.02300    65457480.00000000 39909908.00000000 102223240.00000000 37419.86718750  3129449.00000000 2443606.75000000 
