# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.00000    68461264.00000000 41715120.00000000 106882096.00000000 51544.35546875  3757075.00000000 2932707.00000000 
0.00100    68450096.00000000 41707560.00000000 106862832.00000000 51533.66406250  3756342.25000000 2932129.75000000 
0.00200    68414616.00000000 41685312.00000000 106805440.00000000 51501.56250000  3754130.75000000 2930397.00000000 
0.00300    68353928.00000000 41648076.00000000 106709368.00000000 51447.78125000  3750401.25000000 2927520.25000000 
0.00400    68267704.00000000 41595540.00000000 106575448.00000000 51372.68359375  3745242.00000000 2923497.75000000 
0.00500    68156032.00000000 41528980.00000000 106402072.00000000 51276.17578125  3738613.75000000 2918336.25000000 
0.00600    68020720.00000000 41447420.00000000 106193144.00000000 51158.63281250  3730513.50000000 2912036.25000000 
0.00700    67859776.00000000 41351392.00000000 105946000.00000000 51020.01562500  3720992.25000000 2904626.75000000 
0.00800    67676904.00000000 41240576.00000000 105662072.00000000 50860.80078125  3710005.25000000 2896083.25000000 
0.00900    67471152.00000000 41115924.00000000 105339288.00000000 50681.00000000  3697612.75000000 2886452.75000000 
0.01000    67241344.00000000 40976412.00000000 104981424.00000000 50480.68359375  3683830.00000000 2875723.50000000 
0.01100    66987548.00000000 40823328.00000000 104588616.00000000 50260.50000000  3668658.00000000 2863924.25000000 
0.01200    66711184.00000000 40656428.00000000 104158288.00000000 50020.32421875  3652130.25000000 2851051.25000000 
0.01300    66412684.00000000 40476080.00000000 103694496.00000000 49760.96875000  3634264.25000000 2837136.25000000 
0.01400    66091776.00000000 40282316.00000000 103195240.00000000 49482.63281250  3615051.50000000 2822209.75000000 
0.01500    65749576.00000000 40075236.00000000 102663048.00000000 49185.58203125  3594575.25000000 2806285.75000000 
0.01600    65385744.00000000 39855796.00000000 102097432.00000000 48870.14062500  3572818.25000000 2789354.00000000 
0.01700    65001264.00000000 39623248.00000000 101499792.00000000 48536.84375000  3549848.00000000 2771482.75000000 
0.01800    64596676.00000000 39378564.00000000 100870528.00000000 48186.43359375  3525645.50000000 2752657.75000000 
0.01900    64172016.00000000 39121744.00000000 100210320.00000000 47818.83984375  3500293.75000000 2732911.50000000 
0.02000    63727916.00000000 38853676.00000000 99519816.00000000 47435.15234375  3473776.00000000 2712272.25000000 
0.02100    63265620.00000000 38574048.00000000 98800960.00000000 47035.36718750  3446179.75000000 2690797.75000000 
0.02200    62784876.00000000 38283156.00000000 98053256.00000000 46620.23046875  3417487.00000000 2668478.50000000 
0.02300    62286580.00000000 37981988.00000000 97278272.00000000 46190.17968750  3387756.00000000 2645351.50000000 
