# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=305369701
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,scale,boltzman_shift
-2.69725e+109,1,8.15663e-56,1,1,0,1.5032e+110,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,14.3855,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.43117,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,0.239791,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,0.0186273,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,0.00130482,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,8.85015e-05,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,6.04912e-06,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,4.26362e-07,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,3.1403e-08,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.4349e-09,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.99502e-10,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.72987e-11,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.58747e-12,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.54049e-13,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.57858e-14,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.70518e-15,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.93794e-16,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.31266e-17,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.89206e-18,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,3.78234e-19,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,5.16332e-20,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,7.34345e-21,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.08616e-21,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.66789e-22,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.65469e-23,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,4.37284e-24,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,7.44359e-25,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.30759e-25,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.36734e-26,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,4.41183e-27,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,8.45351e-28,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.66356e-28,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,3.35871e-29,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,6.95042e-30,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.47282e-30,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,3.19307e-31,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,7.0766e-32,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.60197e-32,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,3.70149e-33,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,8.72325e-34,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.09542e-34,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,5.12713e-35,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.2771e-35,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,3.23648e-36,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,8.34024e-37,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.18431e-37,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,5.81116e-38,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.5697e-38,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,4.3031e-39,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.19665e-39,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,3.37435e-40,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,9.64454e-41,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.79304e-41,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,8.19252e-42,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.43306e-42,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,7.31369e-43,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.2245e-43,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,6.84391e-44,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.12925e-44,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,6.69692e-45,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.12879e-45,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,6.8373e-46,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.21831e-46,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,7.26846e-47,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.40459e-47,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,8.03011e-48,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.70639e-48,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,9.20358e-49,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,3.15743e-49,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.09254e-49,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,3.81225e-50,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.3412e-50,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,4.75658e-51,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.70025e-51,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,6.12456e-52,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.22287e-52,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,8.12758e-53,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,2.99333e-53,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.11028e-53,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,4.14695e-54,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,1.55952e-54,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-2.69725e+109,0,5.90418e-55,0,1,1,2.69725e+109,0.251595,0.0693786,0.368886,0.0664645,0.243676,0.393932,2.30735
-3.29777e+108,1,2.24999e-55,1,1,0,2.11333e+109,0.239668,0.0868006,0.365901,0.0659266,0.241704,0.393932,3.47993
-5.04384e+107,1,6.06579e-55,1,1,0,2.56085e+108,0.228995,0.106671,0.360904,0.0650263,0.238403,0.393932,4.5219
-6.48687e+106,1,1.61606e-54,2,3,0,3.93973e+107,0.217314,0.134183,0.352304,0.0634767,0.232722,0.393932,5.65309
-1.0268e+106,1,4.256e-54,3,7,0,5.03401e+106,0.206697,0.16552,0.341048,0.0614486,0.225287,0.393932,6.66211
-1.39653e+105,1,1.10822e-53,2,3,0,7.99746e+105,0.195068,0.20778,0.324407,0.0584504,0.214294,0.393932,7.74503
-2.26824e+104,1,2.85384e-53,2,3,0,1.08333e+105,0.18422,0.255154,0.304564,0.0548751,0.201186,0.393932,8.72175
-3.27185e+103,1,7.26973e-53,1,1,0,1.76266e+104,0.172381,0.315262,0.278342,0.0501506,0.183865,0.393932,9.75115
-5.43404e+102,1,1.83226e-52,3,7,0,2.53768e+103,0.160992,0.379545,0.249606,0.0449731,0.164883,0.393932,10.6944
-8.32325e+101,1,4.57013e-52,1,1,0,4.21715e+102,0.148658,0.453237,0.216274,0.0389673,0.142864,0.393932,11.669
-1.4167e+101,1,1.12834e-51,1,1,0,6.45702e+101,0.136496,0.525808,0.183456,0.0330543,0.121186,0.393932,12.579
-2.30331e+100,1,2.75807e-51,2,3,0,1.09914e+101,0.123563,0.599178,0.150623,0.0271387,0.0994974,0.393932,13.5044
-4.03527e+99,1,6.67597e-51,1,1,0,1.78797e+100,0.110766,0.665088,0.121769,0.0219399,0.0804372,0.393932,14.386
-6.93273e+98,1,1.60049e-50,1,1,0,3.1323e+99,0.0976769,0.724837,0.0964209,0.0173727,0.063693,0.393932,15.2736
-1.25237e+98,1,3.80102e-50,1,1,0,5.38568e+98,0.0850744,0.775167,0.0759248,0.0136798,0.0501538,0.393932,16.1338
