# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1750717890
# chain_id=3
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,scale,boltzman_shift
-1.26557e+110,1,4.07832e-56,1,1,0,4.62691e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,14.3855,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,2.43117,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,0.239791,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,0.0186273,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,0.00130482,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,8.85015e-05,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,6.04912e-06,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,4.26362e-07,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,3.1403e-08,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,2.4349e-09,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,1.99502e-10,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,1.72987e-11,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
-1.26557e+110,0,1.58747e-12,0,1,1,1.26557e+110,0.112781,0.156412,0.134018,0.36228,0.0311326,0.203378,0.226146,1.19569
