# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1239937951
# chain_id=3
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,scale
-827.854,1,0.000488281,2,3,0,887.692,0.0659354,0.108789,0.141424,0.683852,1.16949
-827.854,0,14.3855,0,1,1,830.66,0.0659354,0.108789,0.141424,0.683852,1.16949
-827.854,0,2.43117,0,1,1,830.082,0.0659354,0.108789,0.141424,0.683852,1.16949
-827.854,0,0.239791,0,1,1,828.166,0.0659354,0.108789,0.141424,0.683852,1.16949
-827.854,0,0.0186273,0,1,1,829.681,0.0659354,0.108789,0.141424,0.683852,1.16949
-827.854,6.25417e-82,0.00130482,1,1,0,829.686,0.0659354,0.108789,0.141424,0.683852,1.16949
-828.884,0.99304,8.85015e-05,4,15,0,829.663,0.0659118,0.108849,0.14147,0.683769,1.16781
-823.61,0.999175,0.000133073,6,71,0,829.585,0.0653493,0.108935,0.142438,0.683278,1.16825
-806.546,0.897508,0.000223288,7,127,0,827.302,0.0653848,0.111056,0.14809,0.675469,1.16823
-756.998,0.999831,0.00028847,8,255,0,807.002,0.0617237,0.110648,0.165355,0.662274,1.16766
-752.623,0.997694,0.00053486,5,31,0,758.163,0.0618434,0.11196,0.16676,0.659437,1.16775
-752.623,0.17604,0.00100991,1,3,0,753.769,0.0618434,0.11196,0.16676,0.659437,1.16775
-753.124,0.992249,0.000145524,7,127,0,754.072,0.0617026,0.112302,0.166432,0.659564,1.16761
-743.641,0.996325,0.000279313,6,95,0,754.112,0.0610567,0.11302,0.169709,0.656214,1.16741
-729.454,0.518617,0.000545691,6,63,0,746.7,0.0592021,0.113216,0.174428,0.653154,1.16771
-716.029,0.997166,0.00024277,7,127,0,732.479,0.0569799,0.11133,0.179282,0.652409,1.16703
-716.268,0.774746,0.00047933,5,31,0,717.455,0.0569091,0.111332,0.179128,0.652632,1.1671
-519.688,0.77268,0.000477644,8,255,0,718.066,0.0484815,0.107173,0.266122,0.578224,1.16313
-448.68,0.971961,0.000474974,7,127,0,519.934,0.0463678,0.105083,0.304753,0.543795,1.16148
-448.729,0.315167,0.000862719,2,5,0,448.811,0.0463766,0.105062,0.304748,0.543814,1.16154
-445.561,0.996146,0.000219539,6,63,0,449.4,0.0462661,0.104782,0.306679,0.542272,1.16113
-226.305,0.626028,0.000428849,9,511,0,449.453,0.0370437,0.106468,0.491685,0.364803,1.15353
-205.768,0.973103,0.000280371,8,255,0,227.828,0.0349173,0.097278,0.526746,0.341059,1.15126
-205.243,0.940692,0.000506966,7,127,0,206.965,0.0341386,0.0979044,0.528398,0.339559,1.15096
-205.535,0.238068,0.000827416,1,3,0,205.969,0.0341507,0.0978563,0.528469,0.339524,1.15171
