# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1239937951
# chain_id=2
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,scale
-5815.21,1,0.000488281,1,1,0,35724.3,0.0757137,0.324812,0.107465,0.492009,1.13231
-5815.21,0,14.3855,0,1,1,5815.87,0.0757137,0.324812,0.107465,0.492009,1.13231
-5815.21,0,2.43117,0,1,1,5817.75,0.0757137,0.324812,0.107465,0.492009,1.13231
-5815.21,0,0.239791,0,1,1,5817.74,0.0757137,0.324812,0.107465,0.492009,1.13231
-5815.21,0,0.0186273,0,1,1,5815.46,0.0757137,0.324812,0.107465,0.492009,1.13231
-5815.21,0,0.00130482,0,1,1,5817.64,0.0757137,0.324812,0.107465,0.492009,1.13231
-5590.05,1,8.85015e-05,1,1,0,5814.16,0.0757143,0.324821,0.107454,0.49201,1.13332
-3637.17,1,0.000135987,2,3,0,5534.99,0.0757034,0.324881,0.107394,0.492022,1.14334
-2744.76,1,0.000228818,1,1,0,3560.22,0.075704,0.324882,0.107379,0.492035,1.14912
-1187.35,1,0.000408639,1,3,0,2300.64,0.0757046,0.324842,0.107362,0.492091,1.16491
-1181.53,0.2,0.000758439,2,5,1,1184.6,0.0757051,0.324459,0.107394,0.492442,1.18727
-978.627,1,0.000115216,2,3,0,1177.97,0.075683,0.324568,0.107379,0.49237,1.18287
-865.143,1,0.000223827,2,3,0,971.161,0.0756707,0.324619,0.107491,0.49222,1.17494
-203.167,1,0.000439333,9,511,0,866.898,0.0275224,0.133219,0.556598,0.282661,1.15121
-203.167,1.11785e-10,0.000866058,1,1,0,206.015,0.0275224,0.133219,0.556598,0.282661,1.15121
-202.843,0.992169,7.70324e-05,10,1023,0,210.31,0.0244004,0.132645,0.569089,0.273866,1.1512
-185.297,0.999439,0.000150969,10,1023,0,203.236,0.026972,0.0872668,0.625552,0.260209,1.14686
-182.792,0.978346,0.000301372,10,1023,0,185.934,0.026392,0.0752206,0.608281,0.290107,1.14697
-182.308,0.728136,0.000560919,10,1023,0,186.609,0.0168637,0.0420608,0.615398,0.325678,1.14533
-183.011,0.999985,0.000488872,10,1023,0,183.741,0.0166804,0.03558,0.652267,0.295473,1.14353
