# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1239937951
# chain_id=1
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,scale
-48827.9,1,0.000244141,3,7,0,1.15818e+07,0.64099,0.0923682,0.217819,0.0488227,1.02667
-48827.9,0,14.3855,0,1,1,48830,0.64099,0.0923682,0.217819,0.0488227,1.02667
-48827.9,0,2.43117,0,1,1,48830.5,0.64099,0.0923682,0.217819,0.0488227,1.02667
-48827.9,0,0.239791,0,1,1,48830.5,0.64099,0.0923682,0.217819,0.0488227,1.02667
-48827.9,0,0.0186273,0,1,1,48830.7,0.64099,0.0923682,0.217819,0.0488227,1.02667
-48827.9,0,0.00130482,0,1,1,48830.1,0.64099,0.0923682,0.217819,0.0488227,1.02667
-46841.5,1,8.85015e-05,1,1,0,48810,0.640964,0.0923696,0.217838,0.048828,1.02951
-42383.5,1,0.000135987,1,1,0,46740.1,0.64099,0.0923579,0.21783,0.0488227,1.03614
-31318.2,1,0.000228818,1,1,0,41632.3,0.641046,0.0923641,0.217784,0.0488056,1.05438
-12845.7,1,0.000408639,2,3,0,25711.6,0.640922,0.0923534,0.217881,0.0488435,1.22373
-12845.7,0,0.000758439,0,1,1,12847.9,0.640922,0.0923534,0.217881,0.0488435,1.22373
-1961.56,1,6.12567e-05,4,23,0,12771.2,0.640753,0.0924498,0.217924,0.0488729,1.16232
-1960.26,0.98841,0.000119228,2,3,0,1963.27,0.640755,0.0924532,0.217913,0.0488789,1.16223
-1945.98,1,0.000226301,3,7,0,1959.33,0.640722,0.0924613,0.217931,0.0488861,1.16084
-1935.89,0.991212,0.000447736,4,15,0,1945.71,0.639683,0.0924942,0.21871,0.0491128,1.16007
-1936.64,0.379999,0.000862464,2,5,0,1938.07,0.63989,0.0923481,0.218654,0.0491083,1.15929
