# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1239937951
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,scale
-261924,1,0.000488281,2,3,0,339125,0.271297,0.379923,0.0953314,0.253449,1.49442
-261924,0,14.3855,0,1,1,261926,0.271297,0.379923,0.0953314,0.253449,1.49442
-261924,0,2.43117,0,1,1,261924,0.271297,0.379923,0.0953314,0.253449,1.49442
-261924,0,0.239791,0,1,1,261925,0.271297,0.379923,0.0953314,0.253449,1.49442
-261924,0,0.0186273,0,1,1,261925,0.271297,0.379923,0.0953314,0.253449,1.49442
-261924,0,0.00130482,0,1,1,261925,0.271297,0.379923,0.0953314,0.253449,1.49442
-239113,1,8.85015e-05,1,1,0,261312,0.271321,0.379922,0.0953266,0.25343,1.48019
-94036.9,1,0.000135987,2,3,0,231400,0.271336,0.380056,0.0952452,0.253363,1.36617
-4301.08,1,0.000228818,2,3,0,84087.6,0.271058,0.380174,0.0952504,0.253518,1.21099
-1641.19,1,0.000408639,1,3,0,3469.83,0.27111,0.380053,0.0952884,0.253548,1.18919
-1629.61,0.2,0.000758439,2,5,1,1631.6,0.271347,0.37993,0.0951817,0.253542,1.16383
-1603.51,1,0.000115216,1,1,0,1631.72,0.271345,0.379893,0.0951862,0.253576,1.16424
-1486.22,1,0.000223827,1,1,0,1593.93,0.271326,0.379877,0.0951839,0.253613,1.16628
-1249.78,1,0.000439333,2,3,0,1408.27,0.271184,0.379836,0.0952405,0.253739,1.17307
-1249.78,1.14391e-23,0.000866058,1,3,1,1251.06,0.271184,0.379836,0.0952405,0.253739,1.17307
-1223.75,1,7.70324e-05,4,31,0,1253.43,0.271056,0.379901,0.0951331,0.253909,1.17742
-1222.74,0.999018,0.000154651,7,127,0,1225.05,0.270761,0.380262,0.0951756,0.253801,1.17549
-1218.43,1,0.000308271,5,31,0,1223.33,0.269531,0.379533,0.0956245,0.255312,1.17725
-1164.65,0.979252,0.000612566,6,63,0,1218.89,0.250074,0.383067,0.100702,0.266158,1.17619
-1164.65,0.110843,0.00113497,1,3,0,1165.11,0.250074,0.383067,0.100702,0.266158,1.17619
-1155.5,0.998829,0.000156706,7,127,0,1165.27,0.248236,0.381673,0.102501,0.26759,1.17624
-1157.33,0.680471,0.000309419,2,3,0,1159.21,0.24826,0.381647,0.102514,0.267579,1.17719
-1147,1,0.000237951,7,127,0,1159.26,0.245499,0.384306,0.103979,0.266216,1.1767
-1102.44,0.992063,0.000465899,6,63,0,1148.02,0.235117,0.379524,0.11257,0.27279,1.17629
-1102.63,0.163226,0.000882352,2,5,1,1103.77,0.23514,0.379379,0.112557,0.272924,1.17636
-1005.16,0.993205,0.000154928,8,255,0,1103.79,0.210156,0.37553,0.132257,0.282057,1.17555
-1003.61,0.928111,0.000294323,6,63,0,1007.08,0.210396,0.374734,0.132742,0.282128,1.17511
-1001.28,0.924142,0.000460868,5,31,0,1004.86,0.20969,0.373588,0.133064,0.283658,1.17498
-997.809,0.295323,0.000708541,4,15,0,1001.91,0.208894,0.373256,0.133952,0.283899,1.1747
-976.877,0.945047,0.000190507,7,127,0,1001.26,0.205541,0.366617,0.139334,0.288509,1.1741
-856.528,0.967824,0.000310279,7,127,0,980.517,0.176815,0.364704,0.170564,0.287916,1.17383
-590.224,0.905285,0.000533287,8,255,0,857.042,0.131011,0.29975,0.262886,0.306354,1.16738
-589.823,0.130492,0.000767582,3,9,1,591.68,0.13111,0.299522,0.262858,0.30651,1.16784
-556.817,0.968272,0.000138553,8,255,0,593.2,0.125561,0.286233,0.276802,0.311405,1.16629
-541.225,0.981208,0.000236768,7,127,0,558.28,0.124812,0.278813,0.284564,0.31181,1.16701
-533.759,0.990454,0.000414964,6,63,0,542.678,0.123056,0.27502,0.287357,0.314566,1.16676
-340.365,0.250332,0.000738306,7,191,0,536.859,0.106222,0.215291,0.407441,0.271047,1.15954
-340.133,0.999878,0.000191632,6,63,0,340.53,0.106237,0.215155,0.407508,0.2711,1.15892
-306.268,0.999787,0.000348101,7,127,0,341.282,0.0970721,0.202793,0.433304,0.266831,1.15804
-302.353,0.456218,0.000626275,4,31,0,308.698,0.0966643,0.201424,0.436748,0.265164,1.1575
-268.606,0.999732,0.000282257,8,255,0,307.371,0.098713,0.192219,0.475857,0.233212,1.1556
-267.454,0.629067,0.000503794,5,31,0,270.285,0.0983895,0.191143,0.477062,0.233406,1.15521
-257.228,0.971888,0.00035381,8,255,0,271.98,0.0981549,0.18066,0.486868,0.234317,1.15451
-251.648,0.9469,0.000583166,6,63,0,258.178,0.0986648,0.176122,0.493563,0.23165,1.15462
-251.648,0.0165175,0.000897209,1,1,0,253.031,0.0986648,0.176122,0.493563,0.23165,1.15462
-252.162,0.990521,0.000141762,6,79,0,252.919,0.0987059,0.17654,0.493111,0.231643,1.15402
-206.361,0.98692,0.000243189,9,511,0,255.922,0.0892089,0.152537,0.570453,0.187801,1.15016
-207.415,0.999295,0.000410354,6,63,0,207.499,0.0893504,0.154316,0.568916,0.187418,1.15058
-181.633,0.144063,0.000707862,9,511,0,213.234,0.0656403,0.0611996,0.694598,0.178562,1.14336
-175.243,0.997681,0.000159239,10,1023,0,183.867,0.0790025,0.059533,0.685123,0.176342,1.14323
-174.735,0.753979,0.000273193,8,411,0,183.012,0.0836284,0.0588172,0.666382,0.191172,1.14269
-175.139,0.996655,0.000262917,9,635,0,175.988,0.0845735,0.063468,0.659061,0.192897,1.14508
-172.516,0.982247,0.000445037,2,3,0,174.635,0.0845823,0.06348,0.659021,0.192916,1.14405
-172.576,0.321581,0.000723456,9,511,0,173.592,0.0795638,0.0604471,0.649861,0.210129,1.14429
-172.568,0.99893,0.000256274,8,447,0,173.016,0.0792497,0.0608371,0.649817,0.210097,1.14442
-169.678,0.927388,0.000431337,10,1023,0,175.089,0.11011,0.0473046,0.676572,0.166014,1.14252
-169.643,0.501508,0.000613065,10,1023,0,172.372,0.11825,0.0236301,0.697519,0.160601,1.14055
-169.683,0.990024,0.000332155,10,1023,0,170.706,0.128988,0.0213543,0.682022,0.167636,1.14143
-168.814,0.958962,0.000541397,9,1023,0,170.579,0.113755,0.0221967,0.690583,0.173465,1.14125
-168.814,0.00174438,0.000818391,1,3,0,170.347,0.113755,0.0221967,0.690583,0.173465,1.14125
-170.114,0.968929,0.000147947,10,1023,0,172.545,0.114274,0.0192024,0.680339,0.186184,1.14117
-168.919,0.993974,0.000229098,10,1023,0,170.804,0.113396,0.0187939,0.685418,0.182393,1.14163
-169.113,0.989929,0.000372708,10,1023,0,170.507,0.129996,0.0223849,0.703676,0.143944,1.14051
-169.138,0.989385,0.000597479,10,1023,0,170.434,0.112267,0.0299683,0.675106,0.182658,1.14254
-169.138,0.0377506,0.000951253,1,3,1,170.813,0.112267,0.0299683,0.675106,0.182658,1.14254
-168.985,0.99959,0.00019468,10,1023,0,169.846,0.105287,0.0324469,0.685745,0.176522,1.14193
-169.98,0.992749,0.000316955,10,1023,0,171.382,0.146685,0.0230719,0.698734,0.131509,1.14062
-170.058,0.899541,0.00050569,10,1023,0,171.983,0.0889932,0.0249811,0.661423,0.224603,1.14279
-172.942,0.645205,0.000658925,9,511,0,173.315,0.0884542,0.0239381,0.647401,0.240207,1.14284
-169.916,0.931189,0.000501354,10,1023,0,174.372,0.130802,0.0370268,0.675367,0.156805,1.14221
-169.495,0.280231,0.000695674,8,261,0,170.897,0.115304,0.0363997,0.698877,0.149419,1.14146
-169.183,0.996683,0.000248235,10,1023,0,169.713,0.12051,0.0365726,0.695669,0.147248,1.14135
-169.576,0.943476,0.000394349,9,1019,0,170.362,0.130066,0.037199,0.693859,0.138876,1.14111
-168.988,0.999784,0.00055862,10,1023,0,169.629,0.123708,0.0283676,0.691666,0.156259,1.14114
-168.988,0.243705,0.000884649,1,3,0,170.166,0.123708,0.0283676,0.691666,0.156259,1.14114
-169.849,0.928501,0.000298662,10,1023,0,171.062,0.112223,0.0307467,0.688645,0.168385,1.1411
-170.334,0.973217,0.000408528,10,1023,0,171.732,0.10287,0.0270151,0.680488,0.189626,1.14279
-169.631,0.98106,0.000609494,10,1023,0,170.501,0.107941,0.0254912,0.688267,0.178301,1.14109
-169.631,0.0321828,0.000919879,1,3,0,171.172,0.107941,0.0254912,0.688267,0.178301,1.14109
-171.316,0.919203,0.000207753,10,1023,0,174.878,0.114146,0.0244431,0.693015,0.168396,1.14038
-170.288,0.999958,0.000277497,10,1023,0,173.258,0.107366,0.0216462,0.705877,0.165111,1.14039
-172.769,0.997657,0.000433536,10,1023,0,173.497,0.139419,0.0135319,0.739053,0.107996,1.13844
-172.015,0.786195,0.000671237,8,511,0,174.069,0.139539,0.0135356,0.735476,0.111449,1.1387
-174.516,0.47043,0.000683763,7,127,0,174.713,0.138976,0.0136471,0.736886,0.110491,1.13798
-172.379,0.991806,0.000376146,8,263,0,175.327,0.143649,0.0135262,0.723339,0.119486,1.13864
-169.121,0.808132,0.000572309,10,1023,0,173.309,0.119668,0.0162928,0.693658,0.170382,1.14082
-169.341,0.887824,0.000608166,9,905,0,169.594,0.113228,0.017133,0.6936,0.176039,1.14153
-170.13,0.147302,0.000752748,3,11,0,170.444,0.113195,0.0171229,0.693629,0.176054,1.14048
-169.492,0.970543,0.000225247,10,1023,0,171.976,0.112736,0.0160491,0.703254,0.167961,1.14092
-170.26,0.911336,0.000327111,10,1023,0,172.363,0.121677,0.0138871,0.676027,0.188409,1.14186
-169.746,0.995919,0.000423072,10,1023,0,171.013,0.0948597,0.0166333,0.671439,0.217068,1.14212
-170.088,0.744789,0.000640405,8,511,0,171.575,0.0942181,0.0172666,0.69534,0.193176,1.14111
-170.739,0.946434,0.000602169,10,1023,0,172.497,0.14337,0.0101657,0.724158,0.122307,1.13958
-170.642,0.34144,0.000826277,2,7,1,172.353,0.143342,0.0101774,0.723879,0.122602,1.13926
-171.806,0.999988,0.000365922,10,1023,0,172.347,0.163753,0.0103508,0.721573,0.104323,1.13942
-171.734,0.979196,0.000554085,10,1023,0,172.547,0.160221,0.0113794,0.731352,0.0970479,1.1389
-173.053,0.066294,0.000804394,2,5,0,174.392,0.16031,0.0113715,0.731239,0.0970797,1.13826
-171.73,0.995578,0.000216805,8,383,0,173.509,0.15827,0.0113156,0.731843,0.0985705,1.13911
-171.567,0.999903,0.000324495,9,1023,0,171.839,0.16122,0.0113212,0.726573,0.100886,1.13912
-171.957,0.985258,0.000487814,10,1023,0,172.59,0.153811,0.00994816,0.736196,0.100045,1.13886
-172.157,0.878159,0.0455399,7,127,0,173.713,0.0806845,0.0560938,0.656779,0.206443,1.14369
-172.157,0,0.524938,0,1,1,174.259,0.0806845,0.0560938,0.656779,0.206443,1.14369
-172.157,2.84374e-22,0.0830779,1,1,0,173.563,0.0806845,0.0560938,0.656779,0.206443,1.14369
-170.746,0.996969,0.00789266,8,255,0,173.326,0.0978733,0.0530606,0.665651,0.183415,1.14375
-168.851,0.999588,0.010338,8,255,0,171.419,0.119711,0.0341702,0.690697,0.155422,1.14164
-170.196,0.997422,0.0158985,9,767,0,170.487,0.119777,0.00417074,0.703006,0.173045,1.14049
-169.38,0.920948,0.0265808,8,307,0,172.079,0.108516,0.032971,0.675827,0.182686,1.14197
-169.322,0.899421,0.036949,5,59,0,170.089,0.112681,0.0317454,0.691332,0.164241,1.14202
-169.622,0.249165,0.049291,7,131,0,172.721,0.127213,0.00982619,0.695251,0.16771,1.14084
-170.671,0.998584,0.00856352,10,1023,0,171.718,0.113165,0.0029704,0.705856,0.178009,1.14042
-171.816,0.988443,0.0159582,7,255,0,173.805,0.0814115,0.00339282,0.676718,0.238477,1.142
-172.414,0.791831,0.0290497,8,271,0,176.251,0.0828349,0.00474689,0.690122,0.222297,1.14069
-171.775,0.980061,0.0285475,5,47,0,173.027,0.0870346,0.00504475,0.687262,0.220659,1.14184
-175.687,0.520948,0.0508231,6,107,0,176.94,0.0590578,0.00927926,0.66799,0.263673,1.14157
-174.23,0.973232,0.0215482,7,127,0,177.196,0.0531421,0.0115929,0.660087,0.275178,1.14259
-173.795,0.999586,0.0375725,5,31,0,174.238,0.0552839,0.011375,0.659516,0.273825,1.14328
-173.795,0.00148829,0.0706449,1,1,0,175.827,0.0552839,0.011375,0.659516,0.273825,1.14328
-170.682,0.994769,0.00625062,10,1023,0,178.446,0.134449,0.0536181,0.68732,0.124613,1.14196
-170.024,0.999285,0.0116603,7,191,0,171.391,0.130989,0.0411115,0.703861,0.124038,1.14142
-170.097,0.981218,0.0218605,7,191,0,173.341,0.0840353,0.0274052,0.677339,0.21122,1.14255
