# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=397636949
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,scale
-38441.9,1,0.000976562,1,1,0,369621,0.160711,0.17829,0.406532,0.0614307,0.193035,3.90692
-38441.9,0,14.3855,0,1,1,38445.6,0.160711,0.17829,0.406532,0.0614307,0.193035,3.90692
-38441.9,0,2.43117,0,1,1,38445.8,0.160711,0.17829,0.406532,0.0614307,0.193035,3.90692
-38441.9,0,0.239791,0,1,1,38443,0.160711,0.17829,0.406532,0.0614307,0.193035,3.90692
-38441.9,0,0.0186273,0,1,1,38443.7,0.160711,0.17829,0.406532,0.0614307,0.193035,3.90692
-38441.9,0,0.00130482,0,1,1,38444.4,0.160711,0.17829,0.406532,0.0614307,0.193035,3.90692
-6393.76,1,8.85015e-05,3,11,0,37630.6,0.161482,0.177725,0.406219,0.0615101,0.193064,3.62871
-6368.8,1,0.000135987,1,1,0,6393.24,0.161483,0.17774,0.406226,0.0615004,0.19305,3.63034
-6317.01,1,0.000228818,1,1,0,6361.59,0.161503,0.177729,0.406207,0.0615042,0.193058,3.63459
-6259.99,1,0.000408639,2,5,0,6289.97,0.161541,0.17772,0.406254,0.0615063,0.192978,3.64758
-6259.99,8.83537e-05,0.000758439,1,3,1,6260.94,0.161541,0.17772,0.406254,0.0615063,0.192978,3.64758
-6254.51,0.99086,6.12738e-05,8,303,0,6263.98,0.164808,0.175182,0.406206,0.0612662,0.192538,3.65205
-6245.35,0.999541,0.000115877,9,511,0,6255.85,0.183044,0.161559,0.410455,0.061314,0.183628,3.70159
-6247.49,0.900831,0.000227781,9,511,0,6251.36,0.177825,0.157885,0.415251,0.0626708,0.186369,3.69776
-6248.28,0.919439,0.000330787,2,3,0,6248.48,0.17784,0.15792,0.41522,0.0626764,0.186343,3.69329
-6240.94,0.879244,0.000511115,8,511,0,6247.88,0.18237,0.181781,0.385663,0.0627982,0.187388,3.68128
-6240.94,1.79413e-07,0.000698458,1,1,0,6241.87,0.18237,0.181781,0.385663,0.0627982,0.187388,3.68128
-6240.67,0.996462,6.51291e-05,10,1023,0,6244.02,0.180945,0.181679,0.393953,0.0609278,0.182495,3.6773
-6241.89,0.984734,0.000129591,10,1023,0,6246.28,0.196571,0.186974,0.381072,0.0552887,0.180094,3.6958
-6241.23,0.978516,0.00024716,10,1023,0,6243.3,0.186985,0.177526,0.415626,0.0449902,0.174873,3.67578
-6241.11,0.995344,0.000459195,8,383,0,6241.77,0.180763,0.187569,0.411964,0.045934,0.17377,3.65673
-6241.11,0.092307,0.000889367,1,3,0,6242.06,0.180763,0.187569,0.411964,0.045934,0.17377,3.65673
-6239.94,0.976678,0.000120874,10,1023,0,6243.01,0.190397,0.188323,0.407398,0.0435336,0.170349,3.67057
-6240.16,0.904984,0.000222433,10,1023,0,6241.57,0.187627,0.186097,0.407743,0.0476018,0.170932,3.67289
-6240.26,0.999964,0.000329844,10,1023,0,6240.49,0.188669,0.190234,0.412902,0.0477074,0.160487,3.67004
-6240.45,0.160098,0.000637829,2,5,1,6241.41,0.188604,0.190322,0.412839,0.0477286,0.160506,3.66745
-6240.4,0.996433,0.000113036,9,1023,0,6242.92,0.185118,0.193954,0.410395,0.04826,0.162273,3.65952
-6240.67,0.992767,0.000216192,8,511,0,6241.83,0.18226,0.190926,0.415706,0.0481408,0.162967,3.65641
-6240.5,0.848696,0.000404955,8,511,0,6245.71,0.189603,0.196832,0.402148,0.0461165,0.1653,3.66396
-6240.92,0.41553,0.000504294,9,511,0,6241.9,0.180599,0.18088,0.429939,0.0430346,0.165547,3.65754
-6240.62,0.930874,0.00019108,10,1023,0,6242.87,0.191661,0.195556,0.38969,0.0478011,0.175291,3.67108
-6240.04,0.976302,0.000298248,10,1023,0,6241.3,0.183407,0.18539,0.420448,0.044722,0.166032,3.66179
-6241.02,0.799759,0.000522265,9,767,0,6242.42,0.191335,0.183758,0.398563,0.049729,0.176615,3.68242
-6241.26,0.266404,0.000565387,9,895,0,6243.04,0.188177,0.184148,0.420891,0.0480154,0.158769,3.67246
-6240.37,0.999953,0.00014868,10,1023,0,6241.97,0.188324,0.186808,0.407663,0.0527465,0.164459,3.67553
-6240.86,0.999044,0.000274758,10,1023,0,6241.9,0.189522,0.17966,0.39517,0.0543728,0.181275,3.68785
-6242.07,0.367864,0.000501552,10,1023,0,6244.02,0.178377,0.172685,0.369628,0.0814753,0.197834,3.70191
-6240.32,0.965538,0.000177,10,1023,0,6243.31,0.189757,0.176387,0.365246,0.0742395,0.194371,3.71434
-6241.51,0.991027,0.000294558,10,1023,0,6243.07,0.184437,0.168264,0.395175,0.0651501,0.186974,3.70179
-6243.98,0.65414,0.000518902,9,767,0,6245.09,0.18677,0.185049,0.348954,0.0794947,0.199733,3.70349
-6243.29,0.998931,0.000386397,10,1023,0,6245.41,0.184813,0.157232,0.364509,0.104387,0.18906,3.75241
-6243.29,0.0951855,0.000686681,2,5,1,6245.44,0.184813,0.157232,0.364509,0.104387,0.18906,3.75241
-6240.46,0.999917,0.000127159,10,1023,0,6245.69,0.184472,0.167688,0.363555,0.0990063,0.185279,3.73544
-6240.89,0.9879,0.000226316,10,1023,0,6241.82,0.185113,0.165756,0.361527,0.105236,0.182368,3.74414
-6242.01,0.93869,0.000387714,9,511,0,6243.36,0.18611,0.174992,0.336896,0.12014,0.181861,3.75329
-6242.01,0.0021129,0.000584392,2,7,0,6246.36,0.18611,0.174992,0.336896,0.12014,0.181861,3.75329
-6243.89,0.99458,9.05731e-05,10,1023,0,6245.73,0.194554,0.180868,0.330404,0.118011,0.176163,3.76203
-6244.1,0.982269,0.000156742,10,1023,0,6245.79,0.188289,0.182242,0.335379,0.11493,0.17916,3.74254
-6242.55,0.991736,0.000261318,10,1023,0,6246.33,0.188433,0.173581,0.332106,0.117163,0.188717,3.75459
-6242.08,0.996702,0.000442331,8,255,0,6242.67,0.187773,0.170611,0.338199,0.115586,0.187832,3.7576
-6242.08,9.20135e-17,0.000751971,1,3,1,6244.39,0.187773,0.170611,0.338199,0.115586,0.187832,3.7576
-6242.05,0.982128,0.00012301,10,1023,0,6246.53,0.181772,0.162465,0.335377,0.126164,0.194221,3.76237
-6245.58,0.96856,0.0002023,10,1023,0,6246.58,0.180676,0.158568,0.297159,0.154406,0.209192,3.79426
-6244.6,0.846113,0.000320246,10,1023,0,6247.61,0.192847,0.15859,0.300413,0.142714,0.205436,3.80743
-6243.56,0.921059,0.000380326,8,511,0,6246.46,0.188854,0.158886,0.297752,0.145285,0.209223,3.8036
-6242.89,0.998576,0.000534583,10,1023,0,6245.26,0.18377,0.16227,0.319701,0.169657,0.164602,3.80959
-6243.84,0.220834,0.000891726,2,5,1,6248.52,0.184005,0.162249,0.319569,0.169262,0.164915,3.80795
-6243.93,0.995516,0.000256064,10,1023,0,6245.6,0.178268,0.154412,0.327819,0.152706,0.186795,3.78928
