# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=397636949
# chain_id=1
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,scale
-417896,1,0.000488281,1,1,0,1.30327e+06,0.0568173,0.201547,0.195828,0.0882349,0.457572,2.58686
-417896,0,14.3855,0,1,1,417898,0.0568173,0.201547,0.195828,0.0882349,0.457572,2.58686
-417896,0,2.43117,0,1,1,417896,0.0568173,0.201547,0.195828,0.0882349,0.457572,2.58686
-417896,0,0.239791,0,1,1,417898,0.0568173,0.201547,0.195828,0.0882349,0.457572,2.58686
-417896,0,0.0186273,0,1,1,417897,0.0568173,0.201547,0.195828,0.0882349,0.457572,2.58686
-417896,0,0.00130482,0,1,1,417900,0.0568173,0.201547,0.195828,0.0882349,0.457572,2.58686
-396381,1,8.85015e-05,1,1,0,417707,0.05681,0.201604,0.195828,0.0882247,0.457534,2.61069
-347636,1,0.000135987,1,1,0,395282,0.0567738,0.20175,0.195826,0.0881791,0.457471,2.6672
-228152,1,0.000228818,1,1,0,338547,0.0566846,0.202136,0.195798,0.0880779,0.457303,2.82595
-22809.3,1,0.000408639,1,1,0,151414,0.0564452,0.20344,0.195715,0.087785,0.456615,3.30868
-22809.3,0,0.000758439,0,1,1,22811.7,0.0564452,0.20344,0.195715,0.087785,0.456615,3.30868
-20328.9,1,6.12567e-05,2,3,0,22789.1,0.0564411,0.203495,0.195722,0.0877943,0.456548,3.32316
-7283.72,0.933333,0.000119228,3,15,0,19770.2,0.0563717,0.203808,0.195648,0.0876821,0.45649,3.49531
-7213.44,1,0.000190412,2,3,0,7276.73,0.0563672,0.203824,0.195589,0.0876952,0.456524,3.48539
-7209.98,0.977546,0.000377086,5,31,0,7214.15,0.0564459,0.203665,0.195511,0.0876259,0.456752,3.48362
-7210.36,0.263255,0.000697014,2,5,1,7215.5,0.0565066,0.203855,0.195493,0.0874879,0.456658,3.48403
-7203.1,0.999642,0.00014282,5,31,0,7210.56,0.0568072,0.203137,0.196054,0.0875269,0.456475,3.48503
-7147,0.973735,0.000285399,6,63,0,7207.2,0.0581579,0.196163,0.20405,0.0874508,0.454178,3.49157
-7135.07,0.37144,0.00052404,4,15,0,7149.2,0.0587802,0.194929,0.204992,0.0872344,0.454065,3.49272
-7134.97,0.995534,0.000156391,6,63,0,7136.07,0.0588028,0.195012,0.204911,0.0871849,0.454089,3.49576
-7110.65,0.961877,0.000306832,5,31,0,7136.53,0.0601536,0.192836,0.205583,0.0871343,0.454294,3.49923
-7110.75,0.915283,0.000540104,2,3,0,7110.9,0.0601495,0.192838,0.205598,0.0871237,0.454291,3.49931
-7110.56,0.333339,0.000822851,1,3,0,7110.95,0.060138,0.192823,0.205669,0.0871025,0.454267,3.49775
-7110.84,0.982157,0.000229621,7,127,0,7113.3,0.0601794,0.192702,0.204988,0.0873285,0.454802,3.4981
-7098.1,0.578398,0.000425194,5,31,0,7113.17,0.0606922,0.190837,0.205474,0.0869958,0.456001,3.49993
-6868.44,0.975307,0.000246006,7,127,0,7102.82,0.0698947,0.155583,0.218318,0.0894331,0.466771,3.54978
-6851.95,0.999482,0.000442494,6,63,0,6873.24,0.0709062,0.154688,0.221818,0.0886406,0.463947,3.55142
-6851.81,0.333333,0.000843753,1,3,1,6853.92,0.0708212,0.154648,0.222013,0.0886634,0.463854,3.55224
-6536.2,0.983256,0.000248997,8,255,0,6854.59,0.100449,0.123771,0.233205,0.0911179,0.451457,3.63561
-6536.79,0.990488,0.000451471,4,15,0,6537.51,0.100394,0.12382,0.233129,0.090922,0.451735,3.63418
-6536.79,0.0788823,0.000826791,2,5,1,6539.14,0.100394,0.12382,0.233129,0.090922,0.451735,3.63418
-6524.46,0.980556,0.000126051,7,127,0,6538.18,0.102207,0.123283,0.232874,0.0912182,0.450418,3.6382
-6522.79,0.995606,0.000224854,6,63,0,6525.5,0.10227,0.122851,0.233424,0.0913819,0.450073,3.64001
-6466.29,0.461596,0.000413601,7,127,0,6527.84,0.110684,0.117954,0.234273,0.0882168,0.448872,3.65847
-6433.28,0.99883,0.000182918,7,127,0,6468.24,0.11532,0.115816,0.239228,0.0880054,0.44163,3.66682
-6435.27,0.963463,0.000336479,5,31,0,6435.57,0.11498,0.115888,0.238994,0.088034,0.442103,3.6661
-6435.27,0.0129004,0.000558883,4,15,0,6438.64,0.11498,0.115888,0.238994,0.088034,0.442103,3.6661
-6346.64,0.984592,7.86298e-05,9,511,0,6438.16,0.133822,0.108979,0.237401,0.0847306,0.435068,3.70618
-6333.39,0.995359,0.000138276,7,127,0,6348.03,0.137177,0.107386,0.235001,0.0848304,0.435606,3.71324
-6321.31,0.999519,0.000247716,7,127,0,6336.31,0.140367,0.105066,0.234679,0.0861169,0.433771,3.72224
-6300.71,0.841281,0.000444406,7,127,0,6322.86,0.147416,0.102373,0.235426,0.0844805,0.430304,3.73546
-6291.12,0.659755,0.000531043,6,63,0,6301.3,0.151339,0.102187,0.236497,0.0838669,0.426111,3.74229
-6287.21,0.995126,0.000402437,5,63,0,6291.54,0.153172,0.10178,0.236316,0.0839035,0.424829,3.74616
-6287.18,0.200796,0.00070192,2,5,1,6289.57,0.153085,0.101747,0.236515,0.0838308,0.424822,3.74822
-6271.64,0.955803,0.000172485,9,511,0,6291.84,0.192033,0.0992852,0.241203,0.0695513,0.397927,3.80954
-6268.96,0.958375,0.000272626,7,127,0,6273.32,0.190834,0.100439,0.23913,0.069162,0.400434,3.80805
-6268.22,0.808722,0.00043067,7,127,0,6271.42,0.188957,0.100035,0.238204,0.0703924,0.402412,3.80281
-6259.06,0.638608,0.000471497,8,255,0,6272.42,0.180504,0.10855,0.242783,0.0662595,0.401904,3.77719
-6255.61,0.984908,0.000343263,10,1023,0,6262.28,0.203213,0.159463,0.181481,0.0938898,0.361952,3.79454
-6255.61,0.0915123,0.000570647,3,15,1,6258.01,0.203213,0.159463,0.181481,0.0938898,0.361952,3.79454
-6251.54,0.998112,0.000114681,10,1023,0,6257.27,0.200341,0.140313,0.183769,0.0982403,0.377337,3.81432
-6248.64,0.999781,0.000196601,10,1023,0,6255.9,0.183093,0.129028,0.237838,0.093089,0.356952,3.78278
-6246.52,0.920791,0.000335849,9,767,0,6250.2,0.194333,0.161528,0.247934,0.0843734,0.311832,3.76016
-6242.72,0.543515,0.000474531,10,1023,0,6248.67,0.1968,0.191463,0.375772,0.0709512,0.165013,3.7078
-6241,0.999979,0.000280584,9,1023,0,6245.06,0.193488,0.193607,0.395513,0.0665208,0.150871,3.69276
-6240.88,0.830289,0.000473115,8,511,0,6242.17,0.181154,0.187087,0.413216,0.0648728,0.15367,3.67248
-6243.51,0.58296,0.000539235,10,1023,0,6244.81,0.190516,0.214096,0.491461,0.033244,0.0706825,3.62663
-6242.47,0.890147,0.0003513,10,1023,0,6245.78,0.177606,0.202024,0.486275,0.0391859,0.0949093,3.62298
-6242.26,0.658733,0.000457664,7,255,0,6244.78,0.180901,0.199746,0.486748,0.0385346,0.0940705,3.62901
-6242.79,0.953212,0.000354923,10,1023,0,6245.12,0.186762,0.212891,0.469705,0.0518792,0.0787624,3.64143
-6241.21,0.491075,0.000529599,10,1023,0,6245.63,0.187499,0.207164,0.451048,0.0503009,0.103988,3.64743
-6241.19,0.985769,0.000284456,10,1023,0,6243.72,0.178377,0.190438,0.456957,0.0676862,0.106542,3.6635
-6241.05,0.645259,0.000453963,10,1023,0,6242.9,0.189497,0.199146,0.415287,0.0659109,0.130159,3.67771
-6241.91,0.999486,0.000343532,10,1023,0,6243.3,0.181328,0.174997,0.428369,0.064314,0.150992,3.68341
-6240.76,0.160597,0.00056079,10,1023,0,6244.12,0.188005,0.202401,0.445961,0.0548105,0.108823,3.65849
-6240.62,0.992246,0.000149909,10,1023,0,6242.5,0.180223,0.189874,0.444099,0.0630982,0.122706,3.66379
-6241.85,0.999974,0.000240613,8,255,0,6244.47,0.187325,0.186028,0.440438,0.0632872,0.122923,3.68111
-6241.68,0.871622,0.000390426,10,1023,0,6246.73,0.186339,0.203219,0.444518,0.0665758,0.0993487,3.66318
-6245.74,0.589664,0.000480252,9,1023,0,6247.66,0.173651,0.179129,0.454438,0.0778875,0.114894,3.67787
-6241.84,0.990538,0.000325685,7,135,0,6245.72,0.178266,0.180897,0.451439,0.0767252,0.112673,3.6812
-6242.9,0.575631,0.000512834,7,127,0,6243.2,0.176797,0.179441,0.454072,0.0766088,0.11308,3.68075
-6241.87,0.999647,0.000338884,10,1023,0,6248.04,0.180352,0.192198,0.462369,0.0959495,0.0691316,3.68804
-6241.21,0.330412,0.00054078,9,1023,0,6244.39,0.18393,0.199847,0.444222,0.0918489,0.0801519,3.68605
-6240.91,0.998891,0.000216464,10,1023,0,6242.53,0.182336,0.191028,0.445471,0.0932428,0.0879227,3.6934
-6243.03,0.995785,0.000343852,10,1023,0,6243.89,0.180842,0.197654,0.496513,0.0652634,0.0597279,3.65397
-6242.97,0.511006,0.00054006,8,383,0,6245.39,0.181465,0.209389,0.485943,0.0658126,0.0573895,3.64579
-6244.61,0.80933,0.000315924,10,1023,0,6245.77,0.183786,0.2034,0.490876,0.0625922,0.0593455,3.64941
-6246.53,0.985696,0.000339089,10,1023,0,6248.41,0.171504,0.198029,0.515475,0.059179,0.0558131,3.63169
-6244.87,0.933063,0.000518059,7,127,0,6245.63,0.17254,0.197385,0.515558,0.05917,0.0553476,3.63204
-6244.87,1.43102e-06,0.000709381,1,3,0,6249.45,0.17254,0.197385,0.515558,0.05917,0.0553476,3.63204
-6242.82,0.999889,0.00015154,10,1023,0,6248.14,0.180006,0.196521,0.494066,0.065336,0.0640709,3.65386
-6246.47,0.972607,0.000237412,9,511,0,6247.41,0.168545,0.187287,0.50757,0.0709753,0.0656232,3.64673
-6242.5,0.630424,0.000350904,8,511,0,6250.85,0.185566,0.201102,0.480645,0.0675126,0.0651745,3.66292
-6243.81,0.999976,0.000264247,10,1023,0,6245.61,0.188018,0.206535,0.495054,0.0545536,0.0558404,3.64911
-6242.99,0.40054,0.000410077,7,127,0,6247.37,0.185952,0.208679,0.492527,0.0555923,0.0572494,3.64488
-6243.21,0.999997,0.000197952,10,1023,0,6243.94,0.185305,0.204686,0.49522,0.0604591,0.0543298,3.65012
-6241.94,0.985258,0.000306242,10,1023,0,6244.65,0.182219,0.206802,0.480787,0.0667273,0.0634645,3.64954
-6241.94,0.927189,0.000458599,8,511,0,6242.55,0.181791,0.200573,0.484068,0.0675586,0.0660102,3.65553
-6242.07,0.180237,0.00061213,2,7,1,6245.44,0.181801,0.200566,0.484222,0.0674927,0.0659184,3.65523
-6242.03,0.977255,0.000196242,7,179,0,6243.29,0.180621,0.202557,0.48319,0.0676182,0.0660126,3.65263
-6240.95,0.986993,0.000288282,10,1023,0,6243.51,0.185798,0.193051,0.43839,0.091993,0.0907678,3.69674
-6241.5,0.970763,0.000429804,10,1023,0,6243.6,0.179113,0.19689,0.458336,0.0936982,0.0719622,3.68012
-6241.78,0.304737,0.000619249,2,5,0,6243.09,0.179172,0.196795,0.458325,0.0937482,0.0719597,3.68122
-6241.5,0.91958,0.000255485,10,1023,0,6244.41,0.17712,0.189246,0.439435,0.109774,0.0844254,3.70055
-6242.08,0.771262,0.000334169,10,1023,0,6245.39,0.185831,0.193396,0.423276,0.0925901,0.104907,3.70053
-6241.23,0.872277,0.000331058,6,75,0,6243.15,0.186659,0.192477,0.422512,0.0931594,0.105193,3.7005
