# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=245980141
# chain_id=1
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,scale
-36258.5,1,0.000244141,1,1,0,1.10772e+07,0.0637203,0.0934683,0.477883,0.364929,0.853598
-36258.5,0,14.3855,0,1,1,36259.9,0.0637203,0.0934683,0.477883,0.364929,0.853598
-36258.5,0,2.43117,0,1,1,36259.2,0.0637203,0.0934683,0.477883,0.364929,0.853598
-36258.5,0,0.239791,0,1,1,36260.7,0.0637203,0.0934683,0.477883,0.364929,0.853598
-36258.5,0,0.0186273,0,1,1,36262.8,0.0637203,0.0934683,0.477883,0.364929,0.853598
-36258.5,0,0.00130482,0,1,1,36266.3,0.0637203,0.0934683,0.477883,0.364929,0.853598
-34709,1,8.85015e-05,1,1,0,36243.8,0.0637197,0.0934771,0.477847,0.364956,0.855673
-31168.8,1,0.000135987,1,1,0,34624.9,0.0637118,0.0934715,0.477757,0.36506,0.860595
-5860.68,1,0.000228818,2,3,0,29146,0.0637233,0.0934969,0.477275,0.365505,0.911789
-1605.23,1,0.000408639,1,1,0,4682.01,0.0636928,0.0935321,0.477088,0.365687,0.932083
-1605.23,1.66168e-39,0.000758439,1,3,1,1607.68,0.0636928,0.0935321,0.477088,0.365687,0.932083
-575.552,0.99362,6.12567e-05,4,23,0,1601.3,0.0636422,0.0934701,0.477082,0.365805,0.946594
-565.247,1,0.000116856,3,7,0,575.858,0.0636455,0.0934942,0.476912,0.365948,0.948664
-559.045,0.904283,0.000230028,8,255,0,569.603,0.0620033,0.0939362,0.491148,0.352913,0.952132
-549.624,0.975157,0.000337647,8,255,0,560.186,0.0611251,0.0951937,0.500395,0.343286,0.953051
-546.676,0.537052,0.000619943,6,63,0,552.133,0.061671,0.0959221,0.503749,0.338658,0.953812
-542.354,0.982771,0.000295206,8,255,0,547.717,0.0604646,0.097498,0.510628,0.331409,0.955274
-524.887,0.999111,0.000557282,7,127,0,545.271,0.0599299,0.110062,0.519914,0.310094,0.958401
-524.887,1.46737e-15,0.00109933,1,2,1,528.54,0.0599299,0.110062,0.519914,0.310094,0.958401
-524.84,0.999978,0.000106773,10,1023,0,525.47,0.059405,0.11023,0.520025,0.31034,0.958151
-519.053,0.982994,0.000212945,9,511,0,525.557,0.0613507,0.114384,0.524005,0.30026,0.959843
-512.981,0.785448,0.000400205,8,255,0,521.688,0.0618088,0.119867,0.536496,0.281828,0.962294
-482.262,0.898503,0.000417762,8,383,0,517.241,0.0632639,0.16325,0.509425,0.26406,0.958563
-471.788,0.890147,0.000606085,7,127,0,484.13,0.0634538,0.179695,0.486616,0.270235,0.954529
-471.788,0.0895426,0.000853803,1,3,0,473.908,0.0634538,0.179695,0.486616,0.270235,0.954529
-457.377,1,0.000121489,10,1023,0,473.15,0.0679684,0.201375,0.456165,0.274491,0.949099
