# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=245980141
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,scale
-382.301,0.0106344,0.00109266,1,3,1,383.108,0.0936895,0.507201,0.117048,0.282062,0.893136
-382.572,0.986638,0.00019513,10,1023,0,384.062,0.0923927,0.511642,0.115537,0.280428,0.892711
-381.441,0.996677,0.000316675,10,1023,0,383.654,0.0875672,0.495924,0.144992,0.271517,0.89792
-381.671,0.892886,0.000522314,10,1023,0,384.981,0.147893,0.431768,0.169576,0.250763,0.908023
-384.596,0.996126,0.000680395,8,255,0,387.376,0.143924,0.43969,0.192062,0.224324,0.91213
-384.596,4.3227e-11,0.00110854,1,2,1,388.542,0.143924,0.43969,0.192062,0.224324,0.91213
-384.42,0.984631,0.000203202,9,511,0,385.19,0.143204,0.437203,0.194166,0.225427,0.912319
-384.018,0.976028,0.000323145,10,1023,0,387.007,0.122477,0.409195,0.191829,0.276499,0.908021
-381.927,0.936627,0.000501598,8,255,0,384.821,0.122199,0.430764,0.180602,0.266435,0.906898
-382.125,0.986247,0.000711605,10,1023,0,384.039,0.0806001,0.515104,0.139721,0.264575,0.896357
-382.125,0.0106725,0.00111783,1,3,1,384.907,0.0806001,0.515104,0.139721,0.264575,0.896357
-384.027,0.982055,0.000219504,9,1023,0,384.575,0.0849774,0.523053,0.138102,0.253868,0.897367
-385.566,0.997416,0.000342099,10,1023,0,387.189,0.0594663,0.502924,0.130298,0.307311,0.891199
-383.762,0.509504,0.00054787,10,1023,0,390.132,0.0836678,0.427483,0.215368,0.273481,0.908562
-383.501,0.956446,0.00031454,10,1023,0,385.318,0.0785093,0.433153,0.221812,0.266526,0.909699
-382.634,0.965228,0.000460224,9,511,0,383.973,0.0803412,0.443767,0.207136,0.268756,0.907492
-381.766,0.502526,0.000682815,9,1023,0,384.245,0.09626,0.488807,0.153158,0.261775,0.900491
-381.463,0.99909,0.000389074,10,1023,0,382.145,0.0974618,0.486612,0.142674,0.273252,0.898365
-383.117,0.678723,0.000616425,10,1023,0,384.138,0.149581,0.473862,0.117533,0.259024,0.899565
-381.037,0.98955,0.000505904,9,955,0,384.734,0.1409,0.443657,0.155037,0.260406,0.904039
-381.037,0.0390554,0.000781096,2,5,0,382.832,0.1409,0.443657,0.155037,0.260406,0.904039
-381.266,0.999999,0.00017646,10,1023,0,382.183,0.127084,0.470519,0.154304,0.248093,0.903452
-381.091,0.999582,0.000278349,9,511,0,381.432,0.128996,0.468893,0.15244,0.249672,0.903209
-381.123,0.975614,0.000436634,10,1023,0,382.67,0.15363,0.428695,0.160714,0.25696,0.906427
-380.831,0.616451,0.000650056,10,1023,0,382.394,0.139047,0.447053,0.157655,0.256245,0.904532
-380.741,0.389306,0.00047368,7,187,0,386.24,0.138957,0.448968,0.157722,0.254353,0.904859
-384.506,0.990143,0.000221335,10,1023,0,385.739,0.14677,0.460088,0.168633,0.224508,0.908578
-385.458,0.93886,0.000337987,9,859,0,387.725,0.151246,0.445665,0.181073,0.222016,0.911417
-381.941,0.686824,0.000465045,9,511,0,388.056,0.134039,0.423492,0.174987,0.267481,0.906589
-383.123,0.851877,0.000391073,9,635,0,383.855,0.133634,0.419917,0.181275,0.265175,0.907251
-386.232,0.563092,0.000453019,10,1023,0,389.662,0.183777,0.454626,0.119375,0.242222,0.90182
-383.348,0.989774,0.000300681,10,1023,0,391.045,0.175728,0.440756,0.154353,0.229163,0.90796
-385.222,0.991547,0.000453298,9,511,0,386.073,0.164817,0.409353,0.149715,0.276114,0.90524
-381.447,0.832252,0.000683032,8,511,0,385.99,0.175778,0.422777,0.157119,0.244325,0.908404
-381.447,0.00219725,0.000757827,2,7,1,385.773,0.175778,0.422777,0.157119,0.244325,0.908404
-381.648,0.946958,0.000175091,10,1023,0,389.042,0.177599,0.418702,0.155714,0.247985,0.908253
-382.15,0.937831,0.000242172,10,1023,0,384.978,0.147856,0.449865,0.155025,0.247254,0.904856
-381.734,0.983934,0.000328286,10,1023,0,384.39,0.150354,0.449566,0.140478,0.259603,0.902282
-382.152,0.997442,0.000483608,10,1023,0,384.758,0.125043,0.494123,0.113358,0.267476,0.895549
-382.188,0.701811,0.000727967,10,1023,0,384.414,0.0641551,0.502692,0.156667,0.276486,0.896988
-381.069,0.62137,0.00063212,10,1023,0,384.049,0.0946281,0.475225,0.157498,0.272649,0.900045
-380.965,0.985454,0.000473827,10,1023,0,381.217,0.0914931,0.478967,0.165517,0.264023,0.901614
-381.071,0.603066,0.000693881,8,511,0,381.576,0.0905762,0.469925,0.175764,0.263735,0.903263
-382.999,0.561023,0.000503877,7,225,0,384.321,0.0905987,0.464649,0.172241,0.272512,0.902957
-382.999,4.63833e-23,0.0869916,1,3,1,385.721,0.0905987,0.464649,0.172241,0.272512,0.902957
-382.999,0,0.203131,0,1,1,386.771,0.0905987,0.464649,0.172241,0.272512,0.902957
-381.707,0.986435,0.0200286,2,7,0,383.459,0.0908544,0.464438,0.171985,0.272723,0.90264
-381.839,0.985944,0.0201193,8,255,0,382.507,0.175364,0.434674,0.140556,0.249406,0.905659
-381.511,0.999983,0.0260732,8,255,0,382.694,0.117071,0.449757,0.178449,0.254723,0.906617
-381.114,0.946947,0.0406327,7,127,0,382.021,0.10473,0.456314,0.180675,0.258281,0.905508
-381.114,0.00489527,0.058665,1,3,0,382.779,0.10473,0.456314,0.180675,0.258281,0.905508
-380.935,0.996292,0.00472201,9,639,0,382.81,0.141108,0.449295,0.148465,0.261132,0.903358
-380.775,0.996856,0.00832086,9,527,0,381.423,0.116394,0.45319,0.169348,0.261068,0.904492
-381.41,0.96652,0.0151489,3,15,0,381.702,0.11663,0.453246,0.169189,0.260936,0.904101
-381.027,0.998534,0.0255054,7,191,0,384.321,0.129007,0.447647,0.165711,0.257636,0.904851
-381.955,0.264998,0.0479426,6,101,0,384.317,0.152651,0.467115,0.124236,0.255998,0.900829
-383.906,0.993358,0.00897021,9,1023,0,385.666,0.175879,0.460666,0.0981977,0.265258,0.897324
-382.715,0.999846,0.0167829,9,511,0,384.51,0.107926,0.519264,0.104491,0.268319,0.893025
-382.427,0.92767,0.0319817,7,255,0,384.368,0.116369,0.428212,0.204692,0.250728,0.910572
-383.227,0.139912,0.0485,4,19,0,387.148,0.120178,0.427822,0.209507,0.242493,0.912399
-384.482,0.99235,0.00649169,9,511,0,385.966,0.176493,0.382751,0.197786,0.24297,0.914658
-383.484,0.988427,0.0121125,9,511,0,388.209,0.0805511,0.528852,0.123117,0.267481,0.8933
-382.53,0.991148,0.0221628,8,511,0,384.313,0.146004,0.425853,0.186986,0.241157,0.911125
-382.502,0.927241,0.040548,7,255,0,383.594,0.0713376,0.505601,0.157016,0.266045,0.898031
-382.502,0.167312,0.0607673,2,5,0,384.233,0.0713376,0.505601,0.157016,0.266045,0.898031
-381.589,0.998567,0.0095712,9,1023,0,383.907,0.101245,0.44493,0.187354,0.26647,0.906122
-382.715,0.999584,0.0177961,8,255,0,383.453,0.167742,0.400049,0.193081,0.239128,0.913856
-381.823,0.996346,0.0328574,6,63,0,382.914,0.165517,0.409508,0.179248,0.245726,0.911014
-381.823,0.00106254,0.0594994,1,1,0,383.092,0.165517,0.409508,0.179248,0.245726,0.911014
-382.648,0.998973,0.00621022,9,511,0,383.028,0.130196,0.411946,0.204224,0.253634,0.911572
-382.364,0.953711,0.0113813,6,111,0,386.152,0.136627,0.411898,0.200324,0.251151,0.91167
-384.785,0.9597,0.0181838,7,127,0,385.584,0.15346,0.380035,0.206239,0.260266,0.913946
-384.422,0.996418,0.0293113,8,255,0,385.871,0.202056,0.367032,0.193864,0.237048,0.916903
-384.153,0.862505,0.0518766,5,31,0,384.919,0.195369,0.374258,0.188596,0.241777,0.915583
-383.728,0.269873,0.0630253,2,5,0,386.085,0.190144,0.376419,0.189832,0.243605,0.915043
-382.46,0.99519,0.0152627,8,255,0,384.886,0.100688,0.433588,0.209183,0.256541,0.90991
-381.478,0.989202,0.0266906,8,255,0,383.087,0.171536,0.416662,0.162456,0.249346,0.908656
-382.303,0.330687,0.0455176,5,39,0,386.741,0.158641,0.437134,0.170004,0.234221,0.909522
-381.166,0.999022,0.0134356,8,383,0,384.853,0.0967442,0.461513,0.172756,0.268986,0.903255
-380.915,0.99743,0.023438,7,183,0,381.548,0.132888,0.466015,0.145435,0.255662,0.902393
-381.006,0.999171,0.0403587,7,127,0,381.097,0.101253,0.47732,0.150626,0.270801,0.899952
-380.865,0.336663,0.0692153,1,3,0,381.177,0.100059,0.477986,0.151069,0.270886,0.899643
-382.877,0.998816,0.0214688,7,191,0,384.404,0.109826,0.439455,0.167329,0.28339,0.902777
-385.917,0.701261,0.036654,6,71,0,386.443,0.217103,0.412359,0.153853,0.216685,0.913058
-382.974,0.997594,0.0292398,6,63,0,386.652,0.192132,0.421779,0.161436,0.224654,0.911171
-382.933,0.699498,0.0492495,7,127,0,383.815,0.0790821,0.48504,0.185019,0.250859,0.904421
-381.789,0.9994,0.0391529,6,79,0,383.139,0.118583,0.451255,0.152054,0.278109,0.901186
-382.223,0.239613,0.0655879,2,5,1,384.982,0.116075,0.452781,0.151009,0.280135,0.900946
-382.129,0.996714,0.0168642,4,31,0,382.869,0.116045,0.454286,0.15123,0.278439,0.9005
-382.833,0.893014,0.0280221,7,127,0,384.115,0.138844,0.492476,0.121914,0.246766,0.89956
-385.145,0.990101,0.0359583,6,105,0,387.755,0.0953198,0.539889,0.107363,0.257428,0.892443
-384.413,0.154047,0.0580731,2,7,0,386.843,0.0964927,0.537622,0.107615,0.25827,0.892738
-384.154,0.999998,0.0126419,9,511,0,385.444,0.173506,0.401975,0.199692,0.224828,0.916001
-381.859,0.999995,0.0209094,7,127,0,384.652,0.167596,0.413713,0.178337,0.240354,0.911182
-381.859,0.0306914,0.0686937,1,3,0,383.035,0.167596,0.413713,0.178337,0.240354,0.911182
-381.859,0.00116665,0.16961,1,2,1,382.634,0.167596,0.413713,0.178337,0.240354,0.911182
-381.159,0.997158,0.0170491,7,255,0,382.585,0.133818,0.472894,0.127128,0.26616,0.898776
-382.968,0.976482,0.0177963,8,255,0,384.337,0.202881,0.390508,0.162611,0.244001,0.911745
-383.327,0.98793,0.0226323,5,31,0,383.792,0.194219,0.38797,0.16705,0.250761,0.911467
-381.416,0.844614,0.0341657,7,127,0,385.787,0.0961902,0.467468,0.164082,0.27226,0.90178
-382.711,0.974167,0.0361204,5,31,0,383.148,0.0904838,0.466401,0.156217,0.286898,0.899444
-381.993,0.125943,0.0591527,3,9,0,384.724,0.092512,0.467422,0.156487,0.283578,0.899664
-381.228,0.999538,0.00694551,7,255,0,382.822,0.0813029,0.487968,0.164832,0.265898,0.900662
