# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1204488423
# chain_id=1
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,scale,boltzman_shift
-4.34401e+87,1,5.60519e-45,7,127,0,3.99183e+88,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,14.3855,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,2.43117,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,0.239791,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,0.0186273,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,0.00130482,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,8.85015e-05,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,6.04912e-06,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,4.26362e-07,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,3.1403e-08,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,2.4349e-09,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.99502e-10,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.72987e-11,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.58747e-12,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.54049e-13,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.57858e-14,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.70518e-15,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.93794e-16,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,2.31266e-17,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,2.89206e-18,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,3.78234e-19,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,5.16332e-20,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,7.34345e-21,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.08616e-21,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.66789e-22,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,2.65469e-23,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,4.37284e-24,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,7.44359e-25,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.30759e-25,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,2.36734e-26,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,4.41183e-27,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,8.45351e-28,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.66356e-28,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,3.35871e-29,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,6.95042e-30,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.47282e-30,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,3.19307e-31,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,7.0766e-32,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.60197e-32,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,3.70149e-33,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,8.72325e-34,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,2.09542e-34,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,5.12713e-35,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.2771e-35,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,3.23648e-36,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,8.34024e-37,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,2.18431e-37,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,5.81116e-38,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.5697e-38,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,4.3031e-39,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,1.19665e-39,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,3.37435e-40,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,9.64454e-41,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,2.79304e-41,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,8.19252e-42,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,2.43306e-42,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,7.31369e-43,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,2.2245e-43,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-4.34401e+87,0,6.84391e-44,0,1,1,4.34401e+87,0.264301,0.368564,0.16632,0.200815,3.33802,2.70964
-1.9577e+86,1,2.12925e-44,1,1,0,3.86708e+87,0.237065,0.330065,0.228524,0.204347,3.33802,4.40087
-6.12425e+85,1,6.12388e-44,1,1,0,1.59266e+86,0.226566,0.314346,0.255739,0.203349,3.33802,5.03133
-3.28603e+84,1,1.73416e-43,4,15,0,5.29472e+85,0.200875,0.273506,0.330673,0.194946,3.33802,6.61291
-9.63068e+83,1,4.83708e-43,1,1,0,2.64881e+84,0.189905,0.255999,0.364953,0.189142,3.33802,7.27314
-6.31091e+82,1,1.32945e-42,2,3,0,8.07393e+83,0.166449,0.217838,0.443447,0.172265,3.33802,8.73486
-1.69247e+82,1,3.60178e-42,1,1,0,5.03167e+82,0.155144,0.200016,0.482151,0.162689,3.33802,9.43791
-1.35488e+81,1,9.62213e-42,1,1,0,1.38101e+82,0.13453,0.167806,0.554884,0.14278,3.33802,10.7835
-3.31472e+80,1,2.53562e-41,1,1,0,1.07018e+81,0.123359,0.15118,0.594072,0.131389,3.33802,11.5316
-3.21431e+79,1,6.59325e-41,1,1,0,2.64725e+80,0.106051,0.126049,0.655131,0.112769,3.33802,12.769
-7.217e+78,1,1.69223e-40,8,255,0,2.52141e+79,0.0955926,0.111617,0.691367,0.101423,3.33802,13.5594
-8.34747e+77,1,4.28842e-40,7,127,0,5.67772e+78,0.0817244,0.0930546,0.739086,0.0861347,3.33802,14.6992
-1.74455e+77,1,1.07337e-39,1,1,0,6.51923e+77,0.0724803,0.0812205,0.770269,0.0760304,3.33802,15.525
-2.35432e+76,1,2.65423e-39,1,1,0,1.36042e+77,0.0618062,0.0679524,0.80587,0.0643715,3.33802,16.5804
-4.67807e+75,1,6.48622e-39,2,3,0,1.83434e+76,0.0540704,0.0586678,0.831236,0.0560253,3.33802,17.431
